"db","analysis","or","lo","hi","p","logOR","se","I2"
"eICU","ow_aki1",0.938,0.71,1.24,0.6522,-0.0641,0.1423,NA
"eICU","ow_mort",1.031,0.761,1.396,0.8447,0.0303,0.1547,NA
"eICU","psm_aki1",0.882,0.595,1.307,0.5327,-0.1252,0.2006,NA
"eICU","iptw_aki1",0.869,0.652,1.158,0.3384,-0.1403,0.1466,NA
"eICU","ow_frac",1.046,0.51,2.148,0.9016,0.0454,0.367,NA
"eICU","ow_enceph",0.765,0.324,1.806,0.5405,-0.2685,0.4387,NA
"eICU","ac_aki1",0.796,0.534,1.186,0.2627,-0.2279,0.2035,NA
"MIMIC","ow_aki1",1.192,0.848,1.674,0.3119,0.1753,0.1734,NA
"MIMIC","ow_mort",0.756,0.379,1.508,0.427,-0.2799,0.3523,NA
"MIMIC","psm_aki1",1.064,0.677,1.671,0.7889,0.0617,0.2305,NA
"MIMIC","iptw_aki1",1.259,0.87,1.821,0.2224,0.2299,0.1884,NA
"MIMIC","ow_frac",0.342,0.113,1.029,0.0562,-1.0743,0.5627,NA
"MIMIC","ow_enceph",0.475,0.167,1.347,0.1616,-0.7448,0.5321,NA
"MIMIC","ac_aki1",1.096,0.642,1.871,0.737,0.0917,0.273,NA
"Pooled","ow_aki1",1.033,0.832,1.281,0.7694,0.0322,0.11,12
"Pooled","ow_mort",0.98,0.743,1.294,0.8886,-0.0198,0.1416,0
"Pooled","psm_aki1",0.956,0.711,1.287,0.7679,-0.0447,0.1513,0
"Pooled","iptw_aki1",0.999,0.797,1.254,0.9953,-7e-04,0.1157,58
"Pooled","ow_frac",0.749,0.41,1.369,0.3475,-0.2888,0.3074,64
"Pooled","ow_enceph",0.63,0.325,1.224,0.173,-0.4612,0.3385,0
"Pooled","ac_aki1",0.892,0.648,1.229,0.4857,-0.1137,0.1632,0
