"db","analysis","or","lo","hi","p","logOR","se","I2","m"
"eICU","ow_aki1",0.853,0.672,1.083,0.1919,-0.1589,0.1218,NA,5
"eICU","ow_mort",0.803,0.566,1.138,0.2168,-0.22,0.1781,NA,5
"eICU","psm_aki1",0.888,0.698,1.128,0.3293,-0.1193,0.1222,NA,5
"eICU","iptw_aki1",0.762,0.605,0.961,0.0213,-0.2713,0.1179,NA,5
"eICU","ow_frac",0.982,0.552,1.745,0.9494,-0.0187,0.2936,NA,5
"eICU","ow_enceph",0.638,0.417,0.976,0.0382,-0.4492,0.2167,NA,5
"eICU","ac_aki1",0.747,0.579,0.962,0.0239,-0.2922,0.1293,NA,5
"MIMIC","ow_aki1",0.931,0.767,1.131,0.4717,-0.0713,0.0991,NA,5
"MIMIC","ow_mort",0.751,0.53,1.063,0.1064,-0.2868,0.1776,NA,5
"MIMIC","psm_aki1",0.943,0.678,1.312,0.7279,-0.0586,0.1684,NA,5
"MIMIC","iptw_aki1",0.897,0.724,1.111,0.3187,-0.1088,0.1091,NA,5
"MIMIC","ow_frac",0.897,0.518,1.552,0.6973,-0.1089,0.28,NA,5
"MIMIC","ow_enceph",0.519,0.302,0.892,0.0177,-0.6554,0.2762,NA,5
"MIMIC","ac_aki1",0.927,0.673,1.276,0.641,-0.076,0.163,NA,5
"Pooled","ow_aki1",0.899,0.773,1.045,0.1671,-0.1062,0.0769,0,5
"Pooled","ow_mort",0.776,0.607,0.993,0.0438,-0.2535,0.1258,0,5
"Pooled","psm_aki1",0.906,0.747,1.1,0.32,-0.0984,0.0989,0,5
"Pooled","iptw_aki1",0.832,0.711,0.974,0.0217,-0.1838,0.0801,2,5
"Pooled","ow_frac",0.936,0.629,1.393,0.7449,-0.0659,0.2026,0,5
"Pooled","ow_enceph",0.59,0.422,0.824,0.002,-0.5278,0.1705,0,5
"Pooled","ac_aki1",0.812,0.665,0.99,0.0394,-0.2087,0.1013,7,5
"eICU","ow_aki1",0.852,0.671,1.082,0.1889,-0.1603,0.122,NA,10
"eICU","ow_mort",0.8,0.564,1.135,0.2114,-0.2229,0.1784,NA,10
"eICU","psm_aki1",0.891,0.705,1.125,0.3324,-0.1155,0.1191,NA,10
"eICU","iptw_aki1",0.761,0.604,0.96,0.021,-0.2726,0.1181,NA,10
"eICU","ow_frac",0.976,0.549,1.735,0.9333,-0.0246,0.2938,NA,10
"eICU","ow_enceph",0.638,0.417,0.977,0.0387,-0.4488,0.2171,NA,10
"eICU","ac_aki1",0.744,0.577,0.96,0.0228,-0.2951,0.1296,NA,10
"MIMIC","ow_aki1",0.931,0.767,1.13,0.4695,-0.0715,0.0989,NA,10
"MIMIC","ow_mort",0.752,0.531,1.066,0.1095,-0.2844,0.1777,NA,10
"MIMIC","psm_aki1",0.952,0.724,1.253,0.727,-0.0488,0.1398,NA,10
"MIMIC","iptw_aki1",0.895,0.723,1.108,0.3088,-0.1108,0.1089,NA,10
"MIMIC","ow_frac",0.9,0.52,1.559,0.7076,-0.1051,0.2803,NA,10
"MIMIC","ow_enceph",0.521,0.303,0.896,0.0184,-0.6514,0.2763,NA,10
"MIMIC","ac_aki1",0.932,0.678,1.282,0.6656,-0.0703,0.1627,NA,10
"Pooled","ow_aki1",0.899,0.773,1.045,0.1648,-0.1067,0.0768,0,10
"Pooled","ow_mort",0.776,0.606,0.993,0.0438,-0.2538,0.1259,0,10
"Pooled","psm_aki1",0.916,0.767,1.094,0.3348,-0.0874,0.0907,0,10
"Pooled","iptw_aki1",0.831,0.71,0.972,0.0207,-0.1852,0.0801,1,10
"Pooled","ow_frac",0.935,0.629,1.392,0.7421,-0.0667,0.2028,0,10
"Pooled","ow_enceph",0.591,0.423,0.826,0.0021,-0.5261,0.1707,0,10
"Pooled","ac_aki1",0.812,0.666,0.991,0.0403,-0.2078,0.1014,14,10
"eICU","ow_aki1",0.853,0.672,1.083,0.1911,-0.1591,0.1217,NA,20
"eICU","ow_mort",0.802,0.566,1.138,0.2163,-0.2203,0.1782,NA,20
"eICU","psm_aki1",0.873,0.69,1.104,0.2562,-0.136,0.1198,NA,20
"eICU","iptw_aki1",0.762,0.605,0.96,0.021,-0.2715,0.1177,NA,20
"eICU","ow_frac",0.983,0.553,1.748,0.9532,-0.0172,0.2937,NA,20
"eICU","ow_enceph",0.639,0.417,0.977,0.0388,-0.4484,0.217,NA,20
"eICU","ac_aki1",0.746,0.579,0.961,0.0235,-0.293,0.1293,NA,20
"MIMIC","ow_aki1",0.933,0.769,1.132,0.4821,-0.0695,0.0989,NA,20
"MIMIC","ow_mort",0.752,0.531,1.065,0.1085,-0.2847,0.1774,NA,20
"MIMIC","psm_aki1",0.933,0.716,1.217,0.6093,-0.0691,0.1353,NA,20
"MIMIC","iptw_aki1",0.897,0.725,1.11,0.3187,-0.1085,0.1088,NA,20
"MIMIC","ow_frac",0.9,0.52,1.558,0.7065,-0.1054,0.2799,NA,20
"MIMIC","ow_enceph",0.523,0.304,0.898,0.0188,-0.6483,0.2759,NA,20
"MIMIC","ac_aki1",0.932,0.677,1.284,0.6664,-0.0705,0.1635,NA,20
"Pooled","ow_aki1",0.9,0.774,1.046,0.1707,-0.1051,0.0768,0,20
"Pooled","ow_mort",0.777,0.607,0.994,0.0445,-0.2526,0.1257,0,20
"Pooled","psm_aki1",0.899,0.754,1.072,0.2346,-0.1066,0.0897,0,20
"Pooled","iptw_aki1",0.832,0.712,0.973,0.0216,-0.1836,0.0799,3,20
"Pooled","ow_frac",0.939,0.631,1.396,0.7543,-0.0634,0.2026,0,20
"Pooled","ow_enceph",0.592,0.424,0.827,0.0021,-0.5248,0.1706,0,20
"Pooled","ac_aki1",0.813,0.666,0.991,0.0409,-0.2074,0.1014,12,20
