model,term,estimate,conf.low,conf.high,p.value,n_events
ALL_mg_elevation,Serum Mg elevation (pipeline),0.1888763908396876,0.058751952838837884,0.3190008288405374,0.005054222235595517,6301
ALL_vent_arrhythmia,VT/VF (positive control),1.5831976906263434,1.0207104173498167,2.455657241269791,0.040477296046974164,310
ALL_POAF dx-only (primary),POAF dx-only (primary),1.1056027316834114,0.7155021549504712,1.7083909417301977,0.6468620590361848,458
ALL_POAF dx (no BB),POAF dx (no BB),1.3243161835664279,0.8206622760829068,2.1370707600050216,0.2454956418066381,303
ALL_POAF dx (with BB),POAF dx (with BB),0.7347866708043016,0.3915322548305161,1.378970557164907,0.3311895035668061,155
ALL_aki_Delta >=0.3,Delta >=0.3,0.8527833682355009,0.6665550750957475,1.0910418363173091,0.2016048836036025,1528
ALL_aki_KDIGO >=1,KDIGO >=1,0.7688006635554938,0.6052776618158244,0.9765013605660131,0.031650815689270036,1779
ALL_aki_Ratio >=1.5x,Ratio >=1.5x,0.7958124546824208,0.6059397392509052,1.0451822549394114,0.09916763991931342,1105
ALL_aki_Stage >=2,Stage >=2,0.9543893446752357,0.73085553663598,1.246291470161361,0.7282076791119927,420
ALL_aki_Stage >=3,Stage >=3,0.968905336882603,0.6660306155637432,1.4095111094029638,0.8670063568108913,227
ALL_tw_AKI 1.5x <=24h,AKI 1.5x <=24h,0.7682872733246272,0.47824513090247955,1.2342317698848737,0.27122028287838745,294
ALL_tw_AKI 1.5x <=48h,AKI 1.5x <=48h,0.6753871366303643,0.460498078148089,0.9905530684518349,0.04473086340137918,763
ALL_tw_AKI 1.5x <=72h,AKI 1.5x <=72h,0.73942604123088,0.5293593286164342,1.0328539441807751,0.0759261732339585,917
ALL_peak_cr,Peak Cr ratio diff,-0.037780375606140885,-0.1342617094220165,0.058700958209734776,0.4374439444664133,7590
ALL_AKI 1.5x (no BB),AKI 1.5x (no BB),0.8445810098530878,0.6269470997624205,1.1377627912702215,0.26188917033144044,789
ALL_AKI 1.5x (with BB),AKI 1.5x (with BB),0.6890759814959663,0.4575693645933001,1.0377130660761502,0.07380844476563506,316
ALL_cox,trt,0.8250057285773016,0.6720390285077666,1.0127900662208316,0.06598877432062047,NA
ALL_ow,trt,0.8577641925242021,0.6989401190212612,1.0526787487989586,0.14192954133550406,NA
ALL_matched,trt,0.7570866764498098,0.5899983506703651,0.9696689300542062,0.027987761063939028,NA
ALL_nc_Fracture,Fracture,1.0724060552590693,0.5514626578181419,2.08546259851302,0.8345668823504713,56
ALL_nc_Skin infection,Skin infection,1.329378730824002,0.679294767507435,2.601591966403438,0.40057976989572386,69
ALL_nc_UTI,UTI,0.5659480115962722,0.27181990506271403,1.1783432554576,0.1261008578443899,178
ALL_neuro_Delirium,Delirium,0.8151216026364383,0.30556484972414066,2.174409876281343,0.6790316567302095,811
ALL_neuro_Seizure,Seizure,1.112921753701876,0.5409348859329962,2.2897299879754476,0.7682807894329826,108
ALL_neuro_Stroke (postop),Stroke (postop),0.8989194849387406,0.39589147782694456,2.0411054181766333,0.796266974028798,121
ALL_neuro_Encephalopathy,Encephalopathy,0.7225414621154259,0.4134728059806742,1.262637244637315,0.24951161471132288,122
ALL_sec_RRT 7d,RRT 7d,0.996954694502859,0.5929147428722974,1.6763264446358361,0.9906936910199542,150
ALL_sec_ICU mortality,ICU mortality,0.9529909665886929,0.5980321795392287,1.5186336345636016,0.8373155277036213,394
ALL_sec_Hospital mortality,Hospital mortality,0.9357496934071344,0.6368716916904029,1.3748883804011305,0.7317201824287981,578
HYPO_mg_elevation,Serum Mg elevation (pipeline),0.12827711849264925,0.054024524786844275,0.20252971219845423,9.983850193148465e-4,2452
HYPO_vent_arrhythmia,VT/VF (positive control),1.8085641671324848,0.8639471063914963,3.7860006966137267,0.11402022160792778,120
HYPO_POAF dx-only (primary),POAF dx-only (primary),1.1950806618000795,0.6723787798861132,2.1241268031249088,0.5381059312769135,170
HYPO_POAF dx (no BB),POAF dx (no BB),1.5336280492442014,0.8026827483343456,2.930192530373006,0.19099932824547416,111
HYPO_POAF dx (with BB),POAF dx (with BB),0.6722947606018219,0.32319070606937167,1.3984939438068038,0.28071846438099035,59
HYPO_aki_Delta >=0.3,Delta >=0.3,1.0377287863354512,0.7941930794529871,1.355943613524015,0.7829656050496988,485
HYPO_aki_KDIGO >=1,KDIGO >=1,0.983891910936404,0.7291266877630069,1.3276750236314743,0.9141295092264371,568
HYPO_aki_Ratio >=1.5x,Ratio >=1.5x,0.902464168492008,0.6247983114362639,1.3035271710958412,0.5790811745156128,354
HYPO_aki_Stage >=2,Stage >=2,0.9187239172298638,0.6192146555189739,1.3631034546215164,0.6691953608361454,144
HYPO_aki_Stage >=3,Stage >=3,1.0774061138974433,0.6352870237496888,1.8272117812388404,0.7788803874660374,87
HYPO_tw_AKI 1.5x <=24h,AKI 1.5x <=24h,0.8302159313932569,0.4957423588343367,1.3903562615868863,0.4735971666546327,94
HYPO_tw_AKI 1.5x <=48h,AKI 1.5x <=48h,0.7543446129137005,0.49265221913959617,1.1550456344756272,0.19092100458687755,227
HYPO_tw_AKI 1.5x <=72h,AKI 1.5x <=72h,0.8668397564264493,0.5883081241382375,1.2772408411360017,0.46410514488809196,283
HYPO_peak_cr,Peak Cr ratio diff,0.056685968089453816,-0.1336064078708309,0.2469783440497385,0.5538741681768181,2874
HYPO_AKI 1.5x (no BB),AKI 1.5x (no BB),0.946713936411412,0.6283799954822946,1.4263141472345682,0.7899573104799498,253
