"Mg Supplementation","No Supplementation","SMD","Variable","Database"
"  549"," 3374","","n","eICU"
"65.51 (15.18)","64.61 (14.98)"," 0.060","age_num (mean (SD))","eICU"
"  223 (40.6) "," 1225 (36.3) "," 0.089","is_female = 1 (%)","eICU"
"29.12 (7.49)","29.19 (7.12)"," 0.010","bmi (mean (SD))","eICU"
"  "," "," 0.171","surgery_type (%)","eICU"
"  125 (22.8) ","  879 (26.1) ","","   cabg","eICU"
"   15 ( 2.7) ","  150 ( 4.4) ","","   combined","eICU"
"  343 (62.5) "," 1849 (54.8) ","","   other_cardiac","eICU"
"    0 ( 0.0) ","    2 ( 0.1) ","","   unknown","eICU"
"   66 (12.0) ","  494 (14.6) ","","   valve","eICU"
"   96 (17.5) ","  551 (16.3) "," 0.031","hx_chf = 1 (%)","eICU"
"  296 (53.9) "," 1888 (56.0) "," 0.041","hx_hypertension = 1 (%)","eICU"
"  177 (32.2) "," 1077 (31.9) "," 0.007","hx_diabetes = 1 (%)","eICU"
"   45 ( 8.2) ","  324 ( 9.6) "," 0.049","hx_ckd = 1 (%)","eICU"
"   63 (11.5) ","  381 (11.3) "," 0.006","hx_copd = 1 (%)","eICU"
"   31 ( 5.6) ","  150 ( 4.4) "," 0.055","hx_pvd = 1 (%)","eICU"
"   63 (11.5) ","  351 (10.4) "," 0.034","hx_stroke = 1 (%)","eICU"
"   11 ( 2.0) ","   56 ( 1.7) "," 0.026","hx_liver = 1 (%)","eICU"
" 1.16 (0.57)"," 1.17 (0.55)"," 0.020","baseline_cr (mean (SD))","eICU"
"72.43 (26.47)","72.37 (26.54)"," 0.003","baseline_egfr (mean (SD))","eICU"
"  124 (22.6) ","  730 (21.6) "," 0.023","nephrotox_loop_diuretic = 1 (%)","eICU"
"   11 ( 2.0) ","   76 ( 2.3) "," 0.017","nephrotox_nsaid = 1 (%)","eICU"
"   64 (11.7) ","  427 (12.7) "," 0.031","nephrotox_acei_arb = 1 (%)","eICU"
"  108 (19.7) ","  495 (14.7) "," 0.133","nephrotox_ppi = 1 (%)","eICU"
"  233 (42.4) "," 1117 (33.1) "," 0.193","has_betablocker = 1 (%)","eICU"
"   62 (11.3) ","  295 ( 8.7) "," 0.085","has_steroid = 1 (%)","eICU"
"    2 ( 0.4) ","   36 ( 1.1) "," 0.083","preop_antiarrhythmic = 1 (%)","eICU"
"  184 (33.5) ","  853 (25.3) "," 0.181","has_vasopressor = 1 (%)","eICU"
" 1.84 (0.42)"," 2.17 (0.58)"," 0.647","first_mg_value (mean (SD))","eICU"
" 3.98 (0.64)"," 4.07 (0.62)"," 0.151","first_k_value (mean (SD))","eICU"
" 7.69 (1.53)"," 7.77 (1.46)"," 0.056","first_ca_value (mean (SD))","eICU"
"86.42 (20.10)","86.27 (19.50)"," 0.008","first_hr (mean (SD))","eICU"
"   87 (15.8) ","  654 (19.4) "," 0.093","aki_kdigo1 = 1 (%)","eICU"
"   45 ( 8.2) ","  236 ( 7.0) "," 0.045","hosp_mortality = 1 (%)","eICU"
"  245"," 1083","","n","MIMIC-IV"
"71.81 (13.31)","68.84 (14.40)"," 0.214","age_num (mean (SD))","MIMIC-IV"
"  116 (47.3) ","  441 (40.7) "," 0.134","is_female = 1 (%)","MIMIC-IV"
"27.35 (5.87)","28.05 (6.24)"," 0.116","bmi (mean (SD))","MIMIC-IV"
"  ","  "," 0.167","surgery_type (%)","MIMIC-IV"
"   42 (17.1) ","  231 (21.3) ","","   cabg","MIMIC-IV"
"    5 ( 2.0) ","   39 ( 3.6) ","","   combined","MIMIC-IV"
"  136 (55.5) ","  590 (54.5) ","","   other_cardiac","MIMIC-IV"
"   62 (25.3) ","  223 (20.6) ","","   valve","MIMIC-IV"
"  103 (42.0) ","  529 (48.8) "," 0.137","hx_chf = 1 (%)","MIMIC-IV"
"  184 (75.1) ","  824 (76.1) "," 0.023","hx_hypertension = 1 (%)","MIMIC-IV"
"   79 (32.2) ","  408 (37.7) "," 0.114","hx_diabetes = 1 (%)","MIMIC-IV"
"   49 (20.0) ","  343 (31.7) "," 0.269","hx_ckd = 1 (%)","MIMIC-IV"
"   45 (18.4) ","  194 (17.9) "," 0.012","hx_copd = 1 (%)","MIMIC-IV"
"   26 (10.6) ","   83 ( 7.7) "," 0.102","hx_pvd = 1 (%)","MIMIC-IV"
"    9 ( 3.7) ","   56 ( 5.2) "," 0.073","hx_stroke = 1 (%)","MIMIC-IV"
"   11 ( 4.5) ","   54 ( 5.0) "," 0.023","hx_liver = 1 (%)","MIMIC-IV"
" 1.11 (0.53)"," 1.27 (0.65)"," 0.283","baseline_cr (mean (SD))","MIMIC-IV"
"71.31 (25.59)","66.21 (27.87)"," 0.191","baseline_egfr (mean (SD))","MIMIC-IV"
"   37 (15.1) ","  278 (25.7) "," 0.265","nephrotox_loop_diuretic = 1 (%)","MIMIC-IV"
"    8 ( 3.3) ","   15 ( 1.4) "," 0.125","nephrotox_nsaid = 1 (%)","MIMIC-IV"
