"db","outcome","surgery","or","lo","hi","p"
"eICU","KDIGO stage >=1","All",1.651,1.4,1.947,0
"eICU","Cr ratio >=1.5x","All",1.652,1.376,1.983,0
"eICU","Delta Cr >=0.3/48h","All",1.666,1.399,1.983,0
"eICU","KDIGO stage >=2","All",1.348,1.04,1.746,0.0239
"eICU","KDIGO stage >=3","All",1.167,0.8,1.701,0.4233
"eICU","KDIGO stage >=1","Simple",1.549,1.256,1.911,0
"eICU","KDIGO stage >=1","Complex",1.912,1.426,2.563,0
"MIMIC","KDIGO stage >=1","All",1.039,0.818,1.319,0.7558
"MIMIC","Cr ratio >=1.5x","All",1.075,0.828,1.397,0.5867
"MIMIC","Delta Cr >=0.3/48h","All",1.122,0.873,1.441,0.3692
"MIMIC","KDIGO stage >=2","All",1.216,0.868,1.702,0.2553
"MIMIC","KDIGO stage >=3","All",1.234,0.709,2.145,0.4573
"MIMIC","KDIGO stage >=1","Simple",0.925,0.674,1.27,0.6305
"MIMIC","KDIGO stage >=1","Complex",1.397,0.865,2.257,0.1716
