"db","analysis","m","or","lo","hi","p"
"eICU","ow_aki1",5,0.854,0.672,1.085,0.1955
"eICU","iptw_aki1",5,0.764,0.605,0.964,0.0232
"eICU","ac_aki1",5,0.748,0.58,0.963,0.0244
"MIMIC","ow_aki1",5,0.931,0.767,1.131,0.4717
"MIMIC","iptw_aki1",5,0.897,0.724,1.111,0.3187
"MIMIC","ac_aki1",5,0.927,0.673,1.276,0.641
"eICU","ow_aki1",10,0.854,0.673,1.085,0.1965
"eICU","iptw_aki1",10,0.764,0.606,0.964,0.023
"eICU","ac_aki1",10,0.749,0.581,0.965,0.0253
"MIMIC","ow_aki1",10,0.934,0.77,1.133,0.4869
"MIMIC","iptw_aki1",10,0.9,0.727,1.113,0.3304
"MIMIC","ac_aki1",10,0.931,0.678,1.279,0.6591
"eICU","ow_aki1",20,0.854,0.673,1.085,0.1965
"eICU","iptw_aki1",20,0.764,0.606,0.964,0.023
"eICU","ac_aki1",20,0.749,0.581,0.965,0.0253
"MIMIC","ow_aki1",20,0.934,0.77,1.133,0.4869
"MIMIC","iptw_aki1",20,0.9,0.727,1.113,0.3304
"MIMIC","ac_aki1",20,0.931,0.678,1.279,0.6591
