"K-only","Mg+K","SMD","Variable","Database"
" 1429","  557","","n","eICU"
"64.72 (13.68)","65.57 (13.98)"," 0.061","age (mean (SD))","eICU"
"  504 (35.3) ","  216 (38.8) "," 0.073","is_female = 1 (%)","eICU"
"29.81 (6.77)","29.61 (6.66)"," 0.030","bmi (mean (SD))","eICU"
"  ","  "," 0.138","surgery_type (%)","eICU"
"  469 (32.8) ","  181 (32.5) ","","   cabg","eICU"
"  117 ( 8.2) ","   33 ( 5.9) ","","   combined","eICU"
"  551 (38.6) ","  244 (43.8) ","","   other_cardiac","eICU"
"    1 ( 0.1) ","    1 ( 0.2) ","","   unknown","eICU"
"  291 (20.4) ","   98 (17.6) ","","   valve","eICU"
"  265 (18.5) ","   87 (15.6) "," 0.078","heart_failure = 1 (%)","eICU"
"  861 (60.3) ","  343 (61.6) "," 0.027","hypertension = 1 (%)","eICU"
"  455 (31.8) ","  196 (35.2) "," 0.071","diabetes = 1 (%)","eICU"
"  142 ( 9.9) ","   41 ( 7.4) "," 0.092","ckd = 1 (%)","eICU"
"  151 (10.6) ","   60 (10.8) "," 0.007","copd = 1 (%)","eICU"
"   75 ( 5.2) ","   37 ( 6.6) "," 0.059","pvd = 1 (%)","eICU"
"  127 ( 8.9) ","   62 (11.1) "," 0.075","stroke = 1 (%)","eICU"
"   11 ( 0.8) ","    4 ( 0.7) "," 0.006","liver_disease = 1 (%)","eICU"
" 1.07 (0.46)"," 1.05 (0.44)"," 0.040","baseline_creatinine (mean (SD))","eICU"
"77.25 (24.44)","77.03 (23.35)"," 0.009","egfr (mean (SD))","eICU"
"  342 (23.9) ","   93 (16.7) "," 0.181","loop_diuretics = 1 (%)","eICU"
"   24 ( 1.7) ","   10 ( 1.8) "," 0.009","nsaids = 1 (%)","eICU"
"  125 ( 8.7) ","   49 ( 8.8) "," 0.002","acei_arb = 1 (%)","eICU"
"  228 (16.0) ","   68 (12.2) "," 0.108","ppi = 1 (%)","eICU"
"  550 (38.5) ","  221 (39.7) "," 0.024","beta_blockers = 1 (%)","eICU"
"  136 ( 9.5) ","   35 ( 6.3) "," 0.120","steroids = 1 (%)","eICU"
"   12 ( 0.8) ","    5 ( 0.9) "," 0.006","antiarrhythmics = 1 (%)","eICU"
"  567 (39.7) ","  230 (41.3) "," 0.033","vasopressor_6h = 1 (%)","eICU"
" 2.23 (0.51)"," 2.03 (0.50)"," 0.402","first_mg_value (mean (SD))","eICU"
" 3.94 (0.60)"," 3.85 (0.55)"," 0.153","first_potassium (mean (SD))","eICU"
" 7.29 (1.73)"," 7.70 (1.41)"," 0.259","first_calcium (mean (SD))","eICU"
"85.41 (17.59)","84.93 (17.55)"," 0.027","first_heartrate (mean (SD))","eICU"
"  358 (25.1) ","  104 (18.7) "," 0.155","aki_kdigo1 = 1 (%)","eICU"
"   95 ( 6.6) ","   32 ( 5.7) "," 0.037","hospital_mortality = 1 (%)","eICU"
"  564","  280","","n","MIMIC-IV"
"67.26 (15.16)","70.49 (13.16)"," 0.227","age (mean (SD))","MIMIC-IV"
"  239 (42.4) ","  138 (49.3) "," 0.139","is_female = 1 (%)","MIMIC-IV"
"28.04 (5.92)","26.90 (5.00)"," 0.208","bmi (mean (SD))","MIMIC-IV"
"  ","  "," 0.219","surgery_type (%)","MIMIC-IV"
"  143 (25.4) ","   51 (18.2) ","","   cabg","MIMIC-IV"
"   23 ( 4.1) ","    8 ( 2.9) ","","   combined","MIMIC-IV"
"  278 (49.3) ","  166 (59.3) ","","   other_cardiac","MIMIC-IV"
"  120 (21.3) ","   55 (19.6) ","","   valve","MIMIC-IV"
"  200 (35.5) ","   97 (34.6) "," 0.017","heart_failure = 1 (%)","MIMIC-IV"
"  388 (68.8) ","  212 (75.7) "," 0.155","hypertension = 1 (%)","MIMIC-IV"
"  159 (28.2) ","   69 (24.6) "," 0.081","diabetes = 1 (%)","MIMIC-IV"
"  102 (18.1) ","   47 (16.8) "," 0.034","ckd = 1 (%)","MIMIC-IV"
"   80 (14.2) ","   52 (18.6) "," 0.119","copd = 1 (%)","MIMIC-IV"
"   46 ( 8.2) ","   32 (11.4) "," 0.110","pvd = 1 (%)","MIMIC-IV"
"   33 ( 5.9) ","   12 ( 4.3) "," 0.071","stroke = 1 (%)","MIMIC-IV"
"   22 ( 3.9) ","   10 ( 3.6) "," 0.017","liver_disease = 1 (%)","MIMIC-IV"
" 1.06 (0.56)"," 0.99 (0.45)"," 0.145","baseline_creatinine (mean (SD))","MIMIC-IV"
"77.00 (27.39)","77.26 (25.59)"," 0.010","egfr (mean (SD))","MIMIC-IV"
"   70 (12.4) ","   31 (11.1) "," 0.042","loop_diuretics = 1 (%)","MIMIC-IV"
"    6 ( 1.1) ","    6 ( 2.1) "," 0.086","nsaids = 1 (%)","MIMIC-IV"
"   32 ( 5.7) ","   14 ( 5.0) "," 0.030","acei_arb = 1 (%)","MIMIC-IV"
"  154 (27.3) ","   82 (29.3) "," 0.044","ppi = 1 (%)","MIMIC-IV"
"  166 (29.4) ","  121 (43.2) "," 0.290","beta_blockers = 1 (%)","MIMIC-IV"
"   43 ( 7.6) ","   14 ( 5.0) "," 0.108","steroids = 1 (%)","MIMIC-IV"
"   43 ( 7.6) ","   27 ( 9.6) "," 0.072","antiarrhythmics = 1 (%)","MIMIC-IV"
"  311 (55.1) ","  154 (55.0) "," 0.003","vasopressor_6h = 1 (%)","MIMIC-IV"
" 2.29 (0.69)"," 2.03 (0.75)"," 0.368","first_mg_value (mean (SD))","MIMIC-IV"
" 4.01 (0.71)"," 3.83 (0.55)"," 0.278","first_potassium (mean (SD))","MIMIC-IV"
" 8.32 (0.83)"," 8.21 (0.80)"," 0.134","first_calcium (mean (SD))","MIMIC-IV"
"83.95 (15.46)","82.07 (12.70)"," 0.133","first_heartrate (mean (SD))","MIMIC-IV"
"  204 (36.2) ","   97 (34.6) "," 0.032","aki_kdigo1 = 1 (%)","MIMIC-IV"
"   50 ( 8.9) ","   23 ( 8.2) "," 0.023","hospital_mortality = 1 (%)","MIMIC-IV"
