"stratum","model","n","n_trt","n_hosp","or","lo","hi","p"
"Overall","fixed_clusterSE",8108,1127,71,0.785,0.617,1,0.0501
"Overall","hospital_RE",8108,1127,71,0.799,0.668,0.956,0.0143
"<1.8","fixed_clusterSE",1767,486,50,0.986,0.654,1.485,0.9445
"<1.8","hospital_RE",1767,486,50,0.929,0.68,1.269,0.6428
"2.0-2.3","fixed_clusterSE",1873,148,62,0.892,0.594,1.342,0.5841
"2.0-2.3","hospital_RE",1873,148,62,0.937,0.604,1.456,0.7734
">2.3","fixed_clusterSE",3074,202,69,0.514,0.339,0.78,0.0018
">2.3","hospital_RE",3074,202,69,0.549,0.36,0.836,0.0052
">2.3:2.3-2.6","fixed_subband",1226,92,68,0.825,0.489,1.39,0.4691
">2.3:2.6-3.0","fixed_subband",1114,81,66,0.35,0.161,0.76,0.0079
">2.3:>3.0","fixed_subband",736,29,58,0.333,0.118,0.942,0.0382
">2.3","within_hospital_meta",772,158,11,0.638,0.36,1.13,0.1235
