"section","db","model","analysis","or","lo","hi","p"
"E_lactate","eICU","with_lactate","ow_aki1",0.879,0.672,1.15,0.3469
"E_lactate","eICU","with_lactate","iptw_aki1",0.806,0.614,1.059,0.1214
"E_lactate","eICU","with_lactate","ac_aki1",0.806,0.551,1.177,0.2641
"E_lactate","eICU","without_lactate","ow_aki1",0.875,0.669,1.143,0.3271
"E_lactate","eICU","without_lactate","iptw_aki1",0.803,0.61,1.057,0.1175
"E_lactate","eICU","without_lactate","ac_aki1",0.809,0.554,1.183,0.2746
"E_lactate","MIMIC","with_lactate","ow_aki1",1.064,0.766,1.478,0.7119
"E_lactate","MIMIC","with_lactate","iptw_aki1",1.165,0.811,1.675,0.409
"E_lactate","MIMIC","with_lactate","ac_aki1",0.901,0.535,1.519,0.6954
"E_lactate","MIMIC","without_lactate","ow_aki1",1.028,0.741,1.427,0.8674
"E_lactate","MIMIC","without_lactate","iptw_aki1",1.136,0.792,1.63,0.488
"E_lactate","MIMIC","without_lactate","ac_aki1",0.886,0.529,1.486,0.6469
