"section","analysis","observed_or","or_uy","p0_untreated","p1_treated","delta","bias_factor","adjusted_or","survives"
"F_qba","AC primary (eICU)",0.795,1.5,0.35,0.3,0.05,0.9787,0.812,TRUE
"F_qba","AC primary (eICU)",0.795,1.5,0.35,0.25,0.1,0.9574,0.83,TRUE
"F_qba","AC primary (eICU)",0.795,1.5,0.35,0.2,0.15,0.9362,0.849,TRUE
"F_qba","AC primary (eICU)",0.795,1.5,0.4,0.35,0.05,0.9792,0.812,TRUE
"F_qba","AC primary (eICU)",0.795,1.5,0.4,0.3,0.1,0.9583,0.83,TRUE
"F_qba","AC primary (eICU)",0.795,1.5,0.4,0.25,0.15,0.9375,0.848,TRUE
"F_qba","AC primary (eICU)",0.795,1.5,0.45,0.4,0.05,0.9796,0.812,TRUE
"F_qba","AC primary (eICU)",0.795,1.5,0.45,0.35,0.1,0.9592,0.829,TRUE
"F_qba","AC primary (eICU)",0.795,1.5,0.45,0.3,0.15,0.9388,0.847,TRUE
"F_qba","AC primary (eICU)",0.795,2,0.35,0.3,0.05,0.963,0.826,TRUE
"F_qba","AC primary (eICU)",0.795,2,0.35,0.25,0.1,0.9259,0.859,TRUE
"F_qba","AC primary (eICU)",0.795,2,0.35,0.2,0.15,0.8889,0.894,TRUE
"F_qba","AC primary (eICU)",0.795,2,0.4,0.35,0.05,0.9643,0.824,TRUE
"F_qba","AC primary (eICU)",0.795,2,0.4,0.3,0.1,0.9286,0.856,TRUE
"F_qba","AC primary (eICU)",0.795,2,0.4,0.25,0.15,0.8929,0.89,TRUE
"F_qba","AC primary (eICU)",0.795,2,0.45,0.4,0.05,0.9655,0.823,TRUE
"F_qba","AC primary (eICU)",0.795,2,0.45,0.35,0.1,0.931,0.854,TRUE
"F_qba","AC primary (eICU)",0.795,2,0.45,0.3,0.15,0.8966,0.887,TRUE
"F_qba","AC primary (eICU)",0.795,2.5,0.35,0.3,0.05,0.9508,0.836,TRUE
"F_qba","AC primary (eICU)",0.795,2.5,0.35,0.25,0.1,0.9016,0.882,TRUE
"F_qba","AC primary (eICU)",0.795,2.5,0.35,0.2,0.15,0.8525,0.933,TRUE
"F_qba","AC primary (eICU)",0.795,2.5,0.4,0.35,0.05,0.9531,0.834,TRUE
"F_qba","AC primary (eICU)",0.795,2.5,0.4,0.3,0.1,0.9063,0.877,TRUE
"F_qba","AC primary (eICU)",0.795,2.5,0.4,0.25,0.15,0.8594,0.925,TRUE
"F_qba","AC primary (eICU)",0.795,2.5,0.45,0.4,0.05,0.9552,0.832,TRUE
"F_qba","AC primary (eICU)",0.795,2.5,0.45,0.35,0.1,0.9104,0.873,TRUE
"F_qba","AC primary (eICU)",0.795,2.5,0.45,0.3,0.15,0.8657,0.918,TRUE
"F_qba","AC primary (eICU)",0.795,3,0.35,0.3,0.05,0.9412,0.845,TRUE
"F_qba","AC primary (eICU)",0.795,3,0.35,0.25,0.1,0.8824,0.901,TRUE
"F_qba","AC primary (eICU)",0.795,3,0.35,0.2,0.15,0.8235,0.965,TRUE
"F_qba","AC primary (eICU)",0.795,3,0.4,0.35,0.05,0.9444,0.842,TRUE
"F_qba","AC primary (eICU)",0.795,3,0.4,0.3,0.1,0.8889,0.894,TRUE
"F_qba","AC primary (eICU)",0.795,3,0.4,0.25,0.15,0.8333,0.954,TRUE
"F_qba","AC primary (eICU)",0.795,3,0.45,0.4,0.05,0.9474,0.839,TRUE
"F_qba","AC primary (eICU)",0.795,3,0.45,0.35,0.1,0.8947,0.889,TRUE
"F_qba","AC primary (eICU)",0.795,3,0.45,0.3,0.15,0.8421,0.944,TRUE
"F_qba","IPTW (eICU)",0.805,1.5,0.35,0.3,0.05,0.9787,0.823,TRUE
"F_qba","IPTW (eICU)",0.805,1.5,0.35,0.25,0.1,0.9574,0.841,TRUE
"F_qba","IPTW (eICU)",0.805,1.5,0.35,0.2,0.15,0.9362,0.86,TRUE
"F_qba","IPTW (eICU)",0.805,1.5,0.4,0.35,0.05,0.9792,0.822,TRUE
"F_qba","IPTW (eICU)",0.805,1.5,0.4,0.3,0.1,0.9583,0.84,TRUE
"F_qba","IPTW (eICU)",0.805,1.5,0.4,0.25,0.15,0.9375,0.859,TRUE
"F_qba","IPTW (eICU)",0.805,1.5,0.45,0.4,0.05,0.9796,0.822,TRUE
"F_qba","IPTW (eICU)",0.805,1.5,0.45,0.35,0.1,0.9592,0.839,TRUE
"F_qba","IPTW (eICU)",0.805,1.5,0.45,0.3,0.15,0.9388,0.858,TRUE
"F_qba","IPTW (eICU)",0.805,2,0.35,0.3,0.05,0.963,0.836,TRUE
"F_qba","IPTW (eICU)",0.805,2,0.35,0.25,0.1,0.9259,0.869,TRUE
"F_qba","IPTW (eICU)",0.805,2,0.35,0.2,0.15,0.8889,0.906,TRUE
"F_qba","IPTW (eICU)",0.805,2,0.4,0.35,0.05,0.9643,0.835,TRUE
"F_qba","IPTW (eICU)",0.805,2,0.4,0.3,0.1,0.9286,0.867,TRUE
"F_qba","IPTW (eICU)",0.805,2,0.4,0.25,0.15,0.8929,0.902,TRUE
"F_qba","IPTW (eICU)",0.805,2,0.45,0.4,0.05,0.9655,0.834,TRUE
"F_qba","IPTW (eICU)",0.805,2,0.45,0.35,0.1,0.931,0.865,TRUE
"F_qba","IPTW (eICU)",0.805,2,0.45,0.3,0.15,0.8966,0.898,TRUE
"F_qba","IPTW (eICU)",0.805,2.5,0.35,0.3,0.05,0.9508,0.847,TRUE
"F_qba","IPTW (eICU)",0.805,2.5,0.35,0.25,0.1,0.9016,0.893,TRUE
"F_qba","IPTW (eICU)",0.805,2.5,0.35,0.2,0.15,0.8525,0.944,TRUE
"F_qba","IPTW (eICU)",0.805,2.5,0.4,0.35,0.05,0.9531,0.845,TRUE
"F_qba","IPTW (eICU)",0.805,2.5,0.4,0.3,0.1,0.9063,0.888,TRUE
"F_qba","IPTW (eICU)",0.805,2.5,0.4,0.25,0.15,0.8594,0.937,TRUE
"F_qba","IPTW (eICU)",0.805,2.5,0.45,0.4,0.05,0.9552,0.843,TRUE
"F_qba","IPTW (eICU)",0.805,2.5,0.45,0.35,0.1,0.9104,0.884,TRUE
"F_qba","IPTW (eICU)",0.805,2.5,0.45,0.3,0.15,0.8657,0.93,TRUE
"F_qba","IPTW (eICU)",0.805,3,0.35,0.3,0.05,0.9412,0.855,TRUE
"F_qba","IPTW (eICU)",0.805,3,0.35,0.25,0.1,0.8824,0.912,TRUE
"F_qba","IPTW (eICU)",0.805,3,0.35,0.2,0.15,0.8235,0.977,TRUE
"F_qba","IPTW (eICU)",0.805,3,0.4,0.35,0.05,0.9444,0.852,TRUE
"F_qba","IPTW (eICU)",0.805,3,0.4,0.3,0.1,0.8889,0.906,TRUE
"F_qba","IPTW (eICU)",0.805,3,0.4,0.25,0.15,0.8333,0.966,TRUE
"F_qba","IPTW (eICU)",0.805,3,0.45,0.4,0.05,0.9474,0.85,TRUE
"F_qba","IPTW (eICU)",0.805,3,0.45,0.35,0.1,0.8947,0.9,TRUE
"F_qba","IPTW (eICU)",0.805,3,0.45,0.3,0.15,0.8421,0.956,TRUE
"F_qba","Mg >2.3 OW (eICU)",0.553,1.5,0.35,0.325,0.025,0.9894,0.559,TRUE
"F_qba","Mg >2.3 OW (eICU)",0.553,1.5,0.35,0.3,0.05,0.9787,0.565,TRUE
"F_qba","Mg >2.3 OW (eICU)",0.553,1.5,0.35,0.275,0.075,0.9681,0.571,TRUE
"F_qba","Mg >2.3 OW (eICU)",0.553,1.5,0.4,0.375,0.025,0.9896,0.559,TRUE
"F_qba","Mg >2.3 OW (eICU)",0.553,1.5,0.4,0.35,0.05,0.9792,0.565,TRUE
"F_qba","Mg >2.3 OW (eICU)",0.553,1.5,0.4,0.325,0.075,0.9687,0.571,TRUE
"F_qba","Mg >2.3 OW (eICU)",0.553,1.5,0.45,0.425,0.025,0.9898,0.559,TRUE
"F_qba","Mg >2.3 OW (eICU)",0.553,1.5,0.45,0.4,0.05,0.9796,0.565,TRUE
"F_qba","Mg >2.3 OW (eICU)",0.553,1.5,0.45,0.375,0.075,0.9694,0.57,TRUE
"F_qba","Mg >2.3 OW (eICU)",0.553,2,0.35,0.325,0.025,0.9815,0.563,TRUE
"F_qba","Mg >2.3 OW (eICU)",0.553,2,0.35,0.3,0.05,0.963,0.574,TRUE
"F_qba","Mg >2.3 OW (eICU)",0.553,2,0.35,0.275,0.075,0.9444,0.586,TRUE
"F_qba","Mg >2.3 OW (eICU)",0.553,2,0.4,0.375,0.025,0.9821,0.563,TRUE
"F_qba","Mg >2.3 OW (eICU)",0.553,2,0.4,0.35,0.05,0.9643,0.573,TRUE
"F_qba","Mg >2.3 OW (eICU)",0.553,2,0.4,0.325,0.075,0.9464,0.584,TRUE
"F_qba","Mg >2.3 OW (eICU)",0.553,2,0.45,0.425,0.025,0.9828,0.563,TRUE
"F_qba","Mg >2.3 OW (eICU)",0.553,2,0.45,0.4,0.05,0.9655,0.573,TRUE
"F_qba","Mg >2.3 OW (eICU)",0.553,2,0.45,0.375,0.075,0.9483,0.583,TRUE
"F_qba","Mg >2.3 OW (eICU)",0.553,2.5,0.35,0.325,0.025,0.9754,0.567,TRUE
"F_qba","Mg >2.3 OW (eICU)",0.553,2.5,0.35,0.3,0.05,0.9508,0.582,TRUE
"F_qba","Mg >2.3 OW (eICU)",0.553,2.5,0.35,0.275,0.075,0.9262,0.597,TRUE
"F_qba","Mg >2.3 OW (eICU)",0.553,2.5,0.4,0.375,0.025,0.9766,0.566,TRUE
"F_qba","Mg >2.3 OW (eICU)",0.553,2.5,0.4,0.35,0.05,0.9531,0.58,TRUE
"F_qba","Mg >2.3 OW (eICU)",0.553,2.5,0.4,0.325,0.075,0.9297,0.595,TRUE
"F_qba","Mg >2.3 OW (eICU)",0.553,2.5,0.45,0.425,0.025,0.9776,0.566,TRUE
"F_qba","Mg >2.3 OW (eICU)",0.553,2.5,0.45,0.4,0.05,0.9552,0.579,TRUE
"F_qba","Mg >2.3 OW (eICU)",0.553,2.5,0.45,0.375,0.075,0.9328,0.593,TRUE
"F_qba","Mg >2.3 OW (eICU)",0.553,3,0.35,0.325,0.025,0.9706,0.57,TRUE
"F_qba","Mg >2.3 OW (eICU)",0.553,3,0.35,0.3,0.05,0.9412,0.588,TRUE
"F_qba","Mg >2.3 OW (eICU)",0.553,3,0.35,0.275,0.075,0.9118,0.607,TRUE
"F_qba","Mg >2.3 OW (eICU)",0.553,3,0.4,0.375,0.025,0.9722,0.569,TRUE
"F_qba","Mg >2.3 OW (eICU)",0.553,3,0.4,0.35,0.05,0.9444,0.586,TRUE
"F_qba","Mg >2.3 OW (eICU)",0.553,3,0.4,0.325,0.075,0.9167,0.603,TRUE
"F_qba","Mg >2.3 OW (eICU)",0.553,3,0.45,0.425,0.025,0.9737,0.568,TRUE
"F_qba","Mg >2.3 OW (eICU)",0.553,3,0.45,0.4,0.05,0.9474,0.584,TRUE
"F_qba","Mg >2.3 OW (eICU)",0.553,3,0.45,0.375,0.075,0.9211,0.6,TRUE
"F_qba","Mg >2.3 AC (eICU)",0.497,1.5,0.35,0.325,0.025,0.9894,0.502,TRUE
"F_qba","Mg >2.3 AC (eICU)",0.497,1.5,0.35,0.3,0.05,0.9787,0.508,TRUE
"F_qba","Mg >2.3 AC (eICU)",0.497,1.5,0.35,0.275,0.075,0.9681,0.513,TRUE
"F_qba","Mg >2.3 AC (eICU)",0.497,1.5,0.4,0.375,0.025,0.9896,0.502,TRUE
"F_qba","Mg >2.3 AC (eICU)",0.497,1.5,0.4,0.35,0.05,0.9792,0.508,TRUE
"F_qba","Mg >2.3 AC (eICU)",0.497,1.5,0.4,0.325,0.075,0.9687,0.513,TRUE
"F_qba","Mg >2.3 AC (eICU)",0.497,1.5,0.45,0.425,0.025,0.9898,0.502,TRUE
"F_qba","Mg >2.3 AC (eICU)",0.497,1.5,0.45,0.4,0.05,0.9796,0.507,TRUE
"F_qba","Mg >2.3 AC (eICU)",0.497,1.5,0.45,0.375,0.075,0.9694,0.513,TRUE
"F_qba","Mg >2.3 AC (eICU)",0.497,2,0.35,0.325,0.025,0.9815,0.506,TRUE
"F_qba","Mg >2.3 AC (eICU)",0.497,2,0.35,0.3,0.05,0.963,0.516,TRUE
"F_qba","Mg >2.3 AC (eICU)",0.497,2,0.35,0.275,0.075,0.9444,0.526,TRUE
"F_qba","Mg >2.3 AC (eICU)",0.497,2,0.4,0.375,0.025,0.9821,0.506,TRUE
