"subgroup","endpoint","n_trt","n_ctl","events_trt","events_ctl","rate_trt","rate_ctl","ard_pct","or","or_lo","or_hi","p","nnt"
"Overall","aki_kdigo1",1088,1088,100,117,9.2,10.8,-1.6,0.97,0.72,1.32,0.8605,64
"Overall","aki_kdigo2",1088,1088,11,15,1,1.4,-0.4,0.62,0.27,1.39,0.2426,272
"Overall","aki_kdigo3",1088,1088,4,14,0.4,1.3,-0.9,0.3,0.08,1.2,0.0892,109
"Age < 65","aki_kdigo1",496,496,33,56,6.7,11.3,-4.6,0.81,0.47,1.42,0.4667,22
"Age < 65","aki_kdigo2",496,496,3,10,0.6,2,-1.4,0.39,0.09,1.63,0.195,71
"Age < 65","aki_kdigo3",496,496,1,8,0.2,1.6,-1.4,0,0,0,0,71
"Age >= 65","aki_kdigo1",592,592,67,61,11.3,10.3,1,1.2,0.76,1.9,0.423,NA
"Age >= 65","aki_kdigo2",592,592,8,5,1.4,0.8,0.5,1.36,0.32,5.77,0.6789,NA
"Age >= 65","aki_kdigo3",592,592,3,6,0.5,1,-0.5,1.11,0.19,6.62,0.9074,197
"Age >= 75","aki_kdigo1",279,279,34,29,12.2,10.4,1.8,1.69,0.77,3.7,0.1929,NA
"Age >= 75","aki_kdigo2",279,279,2,3,0.7,1.1,-0.4,0.41,0.02,8.19,0.5628,279
"Age >= 75","aki_kdigo3",279,279,3,2,1.1,0.7,0.4,2.49002667296049e+55,1.20871035256893e+52,5.12962664618296e+58,0,NA
"Female","aki_kdigo1",416,416,42,43,10.1,10.3,-0.2,1.14,0.59,2.18,0.6999,416
"Female","aki_kdigo2",416,416,8,6,1.9,1.4,0.5,0.79,0.23,2.73,0.7143,NA
"Female","aki_kdigo3",416,416,1,6,0.2,1.4,-1.2,0,0,0,0,83
"Male","aki_kdigo1",672,672,58,74,8.6,11,-2.4,0.7,0.45,1.09,0.1137,42
"Male","aki_kdigo2",672,672,3,9,0.4,1.3,-0.9,0.25,0.06,1,0.0494,112
"Male","aki_kdigo3",672,672,3,8,0.4,1.2,-0.7,0.16,0.01,2.09,0.1609,134
