"subgroup","endpoint","n_trt","n_ctl","events_trt","events_ctl","rate_trt","rate_ctl","ard_pct","or","or_lo","or_hi","p","nnt"
"Overall","aki_kdigo1",2927,2927,591,626,20.2,21.4,-1.2,1,0.87,1.15,0.9906,84
"Overall","aki_kdigo2",2927,2927,41,73,1.4,2.5,-1.1,0.7,0.45,1.07,0.0978,91
"Overall","aki_kdigo3",2927,2927,10,24,0.3,0.8,-0.5,0.78,0.36,1.7,0.5271,209
"Age < 65","aki_kdigo1",1155,1155,137,226,11.9,19.6,-7.7,0.77,0.57,1.04,0.0841,13
"Age < 65","aki_kdigo2",1155,1155,8,28,0.7,2.4,-1.7,0.25,0.11,0.55,6e-04,58
"Age < 65","aki_kdigo3",1155,1155,4,10,0.3,0.9,-0.5,0.4,0.08,2.09,0.2761,192
"Age >= 65","aki_kdigo1",1772,1772,454,400,25.6,22.6,3,1.22,1.02,1.46,0.0263,NA
"Age >= 65","aki_kdigo2",1772,1772,33,45,1.9,2.5,-0.7,1.99,1.07,3.69,0.0296,148
"Age >= 65","aki_kdigo3",1772,1772,6,14,0.3,0.8,-0.5,1.83,0.63,5.32,0.2685,221
"Age >= 75","aki_kdigo1",856,856,245,188,28.6,22,6.7,1.27,0.96,1.69,0.0979,NA
"Age >= 75","aki_kdigo2",856,856,15,23,1.8,2.7,-0.9,1.57,0.58,4.29,0.3763,107
"Age >= 75","aki_kdigo3",856,856,3,10,0.4,1.2,-0.8,1.37,0.29,6.52,0.6913,122
"Female","aki_kdigo1",970,970,212,218,21.9,22.5,-0.6,1.68,1.19,2.38,0.0035,162
"Female","aki_kdigo2",970,970,23,23,2.4,2.4,0,11.43,1.75,74.73,0.011,NA
"Female","aki_kdigo3",970,970,4,12,0.4,1.2,-0.8,2.19,0.39,12.41,0.3762,121
"Male","aki_kdigo1",1957,1957,379,408,19.4,20.8,-1.5,0.86,0.71,1.05,0.1398,67
"Male","aki_kdigo2",1957,1957,18,50,0.9,2.6,-1.6,0.41,0.24,0.72,0.0019,61
"Male","aki_kdigo3",1957,1957,6,12,0.3,0.6,-0.3,0.65,0.27,1.57,0.3404,326
"eGFR < 45","aki_kdigo1",212,212,83,46,39.2,21.7,17.5,1.2,0.6,2.4,0.6015,NA
"eGFR < 45","aki_kdigo2",212,212,6,6,2.8,2.8,0,2.17,0.28,17.09,0.4626,NA
"eGFR < 45","aki_kdigo3",212,212,5,4,2.4,1.9,0.5,0,0,6.29,0.1292,NA
"eGFR 45-60","aki_kdigo1",272,272,71,55,26.1,20.2,5.9,0.94,0.58,1.51,0.7863,NA
"eGFR 45-60","aki_kdigo2",272,272,4,7,1.5,2.6,-1.1,0.47,0.1,2.16,0.3349,91
"eGFR 45-60","aki_kdigo3",272,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eGFR 60-90","aki_kdigo1",977,977,217,208,22.2,21.3,0.9,0.97,0.75,1.25,0.8274,NA
"eGFR 60-90","aki_kdigo2",977,977,8,26,0.8,2.7,-1.8,0.39,0.16,0.94,0.0351,54
"eGFR 60-90","aki_kdigo3",977,977,0,10,0,1,-1,0,0,0,0,98
"eGFR >= 90","aki_kdigo1",1466,1466,220,317,15,21.6,-6.6,0.96,0.74,1.23,0.7356,15
"eGFR >= 90","aki_kdigo2",1466,1466,23,34,1.6,2.3,-0.8,0.42,0.22,0.81,0.0101,133
"eGFR >= 90","aki_kdigo3",1466,1466,4,8,0.3,0.5,-0.3,183.65,6.29,5360.66,0.0025,366
"eGFR < 60","aki_kdigo1",484,484,154,101,31.8,20.9,11,1,0.68,1.47,0.988,NA
"eGFR < 60","aki_kdigo2",484,484,10,13,2.1,2.7,-0.6,1.26,0.41,3.84,0.6887,161
"eGFR < 60","aki_kdigo3",484,484,6,6,1.2,1.2,0,0.07,0.01,0.6,0.0158,NA
"Cr_pre <= 1.0","aki_kdigo1",2167,2167,372,482,17.2,22.2,-5.1,0.92,0.77,1.11,0.3818,20
"Cr_pre <= 1.0","aki_kdigo2",2167,2167,29,59,1.3,2.7,-1.4,0.51,0.31,0.84,0.0084,72
"Cr_pre <= 1.0","aki_kdigo3",2167,2167,4,17,0.2,0.8,-0.6,1.76,0.36,8.73,0.4865,167
"Cr_pre > 1.0","aki_kdigo1",760,760,219,144,28.8,18.9,9.9,1.04,0.77,1.39,0.8083,NA
"Cr_pre > 1.0","aki_kdigo2",760,760,12,14,1.6,1.8,-0.3,0.83,0.38,1.82,0.6484,380
"Cr_pre > 1.0","aki_kdigo3",760,760,6,7,0.8,0.9,-0.1,0.46,0.2,1.06,0.0687,760
"Cr_pre > 1.2","aki_kdigo1",413,413,135,82,32.7,19.9,12.8,0.98,0.64,1.51,0.9244,NA
"Cr_pre > 1.2","aki_kdigo2",413,413,8,10,1.9,2.4,-0.5,0.77,0.29,2.04,0.6036,207
"Cr_pre > 1.2","aki_kdigo3",413,413,6,4,1.5,1,0.5,0.18,0.05,0.6,0.0058,NA
"Cr_pre > 1.5","aki_kdigo1",190,190,75,35,39.5,18.4,21.1,0.97,0.44,2.13,0.9389,NA
"Cr_pre > 1.5","aki_kdigo2",190,190,7,3,3.7,1.6,2.1,1.57,0.05,46.76,0.7948,NA
"Cr_pre > 1.5","aki_kdigo3",190,190,6,4,3.2,2.1,1.1,0.06,0.01,0.36,0.0022,NA
"Diabetes","aki_kdigo1",930,930,230,186,24.7,20,4.7,1.47,1.01,2.14,0.0461,NA
"Diabetes","aki_kdigo2",930,930,12,31,1.3,3.3,-2,0.86,0.16,4.53,0.8558,49
"Diabetes","aki_kdigo3",930,930,5,9,0.5,1,-0.4,0.63,0.11,3.65,0.606,232
"No diabetes","aki_kdigo1",1997,1997,361,440,18.1,22,-4,0.85,0.71,1.03,0.1029,25
"No diabetes","aki_kdigo2",1997,1997,29,42,1.5,2.1,-0.7,0.77,0.46,1.29,0.324,154
"No diabetes","aki_kdigo3",1997,1997,5,15,0.3,0.8,-0.5,2.11,0.74,6.03,0.1634,200
"CKD","aki_kdigo1",390,390,138,88,35.4,22.6,12.8,1.07,0.65,1.76,0.7865,NA
"CKD","aki_kdigo2",390,390,6,17,1.5,4.4,-2.8,2.98,0.44,20.05,0.2609,35
"CKD","aki_kdigo3",390,390,3,5,0.8,1.3,-0.5,0.01,0,5.48,0.1618,195
"No CKD","aki_kdigo1",2537,2537,453,538,17.9,21.2,-3.4,1.19,1,1.41,0.0449,30
"No CKD","aki_kdigo2",2537,2537,35,56,1.4,2.2,-0.8,0.7,0.43,1.14,0.1533,121
"No CKD","aki_kdigo3",2537,2537,7,19,0.3,0.7,-0.5,3.9,0.59,25.81,0.1584,211
"Heart failure","aki_kdigo1",855,855,209,179,24.4,20.9,3.5,1.33,0.95,1.86,0.0975,NA
"Heart failure","aki_kdigo2",855,855,13,22,1.5,2.6,-1.1,0.32,0.11,0.94,0.0373,95
"Heart failure","aki_kdigo3",855,855,5,11,0.6,1.3,-0.7,0.71,0.2,2.54,0.5994,142
"No HF","aki_kdigo1",2072,2072,382,447,18.4,21.6,-3.1,0.92,0.76,1.11,0.3574,32
"No HF","aki_kdigo2",2072,2072,28,51,1.4,2.5,-1.1,0.68,0.37,1.24,0.2081,90
"No HF","aki_kdigo3",2072,2072,5,13,0.2,0.6,-0.4,0.91,0.26,3.17,0.8777,259
"Hypertension","aki_kdigo1",2206,2206,484,479,21.9,21.7,0.2,0.95,0.8,1.12,0.5223,NA
"Hypertension","aki_kdigo2",2206,2206,32,61,1.5,2.8,-1.3,0.62,0.39,0.99,0.0448,76
"Hypertension","aki_kdigo3",2206,2206,8,19,0.4,0.9,-0.5,0.83,0.33,2.07,0.6926,201
"No HTN","aki_kdigo1",721,721,107,147,14.8,20.4,-5.5,1.34,0.75,2.39,0.3173,18
"No HTN","aki_kdigo2",721,721,9,12,1.2,1.7,-0.4,64190726.66,24855322.84,165777343.38,0,240
"No HTN","aki_kdigo3",721,721,2,5,0.3,0.7,-0.4,90678191017739.9,86550639121.1,95002583571278400,0,240
"CABG","aki_kdigo1",631,631,130,144,20.6,22.8,-2.2,1.37,0.68,2.78,0.3776,45
"CABG","aki_kdigo2",631,631,10,22,1.6,3.5,-1.9,0.46,0.07,3.27,0.4383,53
"CABG","aki_kdigo3",631,631,2,3,0.3,0.5,-0.2,54299630.75,NA,NA,NA,631
"Valve","aki_kdigo1",408,408,96,80,23.5,19.6,3.9,1.45,0.61,3.48,0.4017,NA
"Valve","aki_kdigo2",408,408,8,9,2,2.2,-0.2,55662089.06,NA,NA,NA,408
"Valve","aki_kdigo3",408,408,3,2,0.7,0.5,0.2,0,0,0,0,NA
"Mg < 1.8","aki_kdigo1",423,423,88,101,20.8,23.9,-3.1,0.89,0.55,1.44,0.6376,33
"Mg < 1.8","aki_kdigo2",423,423,10,8,2.4,1.9,0.5,0.56,0.14,2.27,0.4151,NA
"Mg < 1.8","aki_kdigo3",423,423,2,3,0.5,0.7,-0.2,1.53,0.21,11.26,0.6761,423
"Mg >= 2.0","aki_kdigo1",1994,1994,424,422,21.3,21.2,0.1,1.05,0.88,1.26,0.5855,NA
