"or","or_lo","or_hi","p","rate_trt","rate_ctl","n","events_trt","events_ctl","subgroup","outcome","db","sig"
0.9017,0.7883,1.0315,0.131727,0.1185,0.1297,3916,464,508,"Overall","aki_48h","EICU",FALSE
0.8978,0.7941,1.0151,0.085331,0.1471,0.1611,3916,576,631,"Overall","aki_7d","EICU",FALSE
0.7972,0.6284,1.0114,0.061928,0.0324,0.0403,3916,127,158,"Overall","aki_stage2","EICU",FALSE
1.1004,0.8267,1.4648,0.512049,0.0258,0.0235,3916,101,92,"Overall","aki_stage3","EICU",FALSE
0.8192,0.7077,0.9482,0.007528,0.074,0.0889,4835,358,430,"Overall","hosp_mortality","EICU",TRUE
0.567,0.468,0.6869,0,0.0358,0.0614,4835,173,297,"Overall","poaf","EICU",TRUE
0.3532,0.3071,0.4062,0,0.0623,0.1582,4835,301,765,"Overall","encephalopathy_delirium","EICU",TRUE
NA,NA,NA,NA,NA,NA,4835,0,0,"Overall","transfusion","EICU",FALSE
NA,NA,NA,NA,NA,NA,4835,0,0,"Overall","reintubation","EICU",FALSE
0.9963,0.8422,1.1786,0.965815,0.0598,0.06,4835,289,290,"Overall","vent_arrhythmia","EICU",FALSE
0.567,0.468,0.6869,0,0.0358,0.0614,4835,173,297,"Overall","poaf_icd","EICU",TRUE
0.3532,0.3071,0.4062,0,0.0623,0.1582,4835,301,765,"Overall","encephalopathy_icd","EICU",TRUE
0.7535,0.611,0.9291,0.008115,0.1026,0.1318,1715,176,226,"Age < 65","aki_48h","EICU",TRUE
0.7496,0.6209,0.905,0.002706,0.1324,0.1691,1715,227,290,"Age < 65","aki_7d","EICU",TRUE
0.5382,0.3701,0.7824,0.001174,0.0257,0.0466,1715,44,80,"Age < 65","aki_stage2","EICU",TRUE
0.8409,0.5431,1.3021,0.437343,0.0222,0.0262,1715,38,45,"Age < 65","aki_stage3","EICU",FALSE
0.5543,0.4388,0.7001,1e-06,0.057,0.0984,2104,120,207,"Age < 65","hosp_mortality","EICU",TRUE
0.3638,0.2628,0.5037,0,0.0247,0.0651,2104,52,137,"Age < 65","poaf","EICU",TRUE
0.3362,0.2722,0.4152,0,0.0623,0.1649,2104,131,347,"Age < 65","encephalopathy_delirium","EICU",TRUE
NA,NA,NA,NA,NA,NA,2104,0,0,"Age < 65","transfusion","EICU",FALSE
NA,NA,NA,NA,NA,NA,2104,0,0,"Age < 65","reintubation","EICU",FALSE
1.0572,0.8257,1.3536,0.659228,0.0656,0.0623,2104,138,131,"Age < 65","vent_arrhythmia","EICU",FALSE
0.3638,0.2628,0.5037,0,0.0247,0.0651,2104,52,137,"Age < 65","poaf_icd","EICU",TRUE
0.3362,0.2722,0.4152,0,0.0623,0.1649,2104,131,347,"Age < 65","encephalopathy_icd","EICU",TRUE
1.0245,0.8591,1.2217,0.787706,0.1308,0.1281,2201,288,282,"Age >= 65","aki_48h","EICU",FALSE
1.0279,0.8737,1.2093,0.740212,0.1586,0.1549,2201,349,341,"Age >= 65","aki_7d","EICU",FALSE
1.0666,0.7784,1.4615,0.688191,0.0377,0.0354,2201,83,78,"Age >= 65","aki_stage2","EICU",FALSE
1.3505,0.9212,1.9798,0.123746,0.0286,0.0214,2201,63,47,"Age >= 65","aki_stage3","EICU",FALSE
1.0737,0.8871,1.2996,0.465477,0.0871,0.0817,2731,238,223,"Age >= 65","hosp_mortality","EICU",FALSE
0.7449,0.5846,0.9493,0.017265,0.0443,0.0586,2731,121,160,"Age >= 65","poaf","EICU",TRUE
0.3673,0.3047,0.4428,0,0.0622,0.1531,2731,170,418,"Age >= 65","encephalopathy_delirium","EICU",TRUE
NA,NA,NA,NA,NA,NA,2731,0,0,"Age >= 65","transfusion","EICU",FALSE
NA,NA,NA,NA,NA,NA,2731,0,0,"Age >= 65","reintubation","EICU",FALSE
0.9467,0.7527,1.1908,0.639996,0.0553,0.0582,2731,151,159,"Age >= 65","vent_arrhythmia","EICU",FALSE
0.7449,0.5846,0.9493,0.017265,0.0443,0.0586,2731,121,160,"Age >= 65","poaf_icd","EICU",TRUE
0.3673,0.3047,0.4428,0,0.0622,0.1531,2731,170,418,"Age >= 65","encephalopathy_icd","EICU",TRUE
0.4626,0.358,0.5978,0,0.0647,0.1301,1483,96,193,"eGFR >= 90","aki_48h","EICU",TRUE
0.5446,0.4368,0.679,0,0.0964,0.1639,1483,143,243,"eGFR >= 90","aki_7d","EICU",TRUE
0.414,0.2719,0.6304,3.9e-05,0.0216,0.0506,1483,32,75,"eGFR >= 90","aki_stage2","EICU",TRUE
0.2809,0.1385,0.5694,0.000429,0.0067,0.0236,1483,10,35,"eGFR >= 90","aki_stage3","EICU",TRUE
0.3026,0.2237,0.4092,0,0.0335,0.1029,1759,59,181,"eGFR >= 90","hosp_mortality","EICU",TRUE
0.3868,0.2639,0.5668,1e-06,0.0216,0.054,1759,38,95,"eGFR >= 90","poaf","EICU",TRUE
0.3236,0.2558,0.4095,0,0.0591,0.1626,1759,104,286,"eGFR >= 90","encephalopathy_delirium","EICU",TRUE
NA,NA,NA,NA,NA,NA,1759,0,0,"eGFR >= 90","transfusion","EICU",FALSE
NA,NA,NA,NA,NA,NA,1759,0,0,"eGFR >= 90","reintubation","EICU",FALSE
0.6484,0.4822,0.8719,0.004134,0.0438,0.0659,1759,77,116,"eGFR >= 90","vent_arrhythmia","EICU",TRUE
0.3868,0.2639,0.5668,1e-06,0.0216,0.054,1759,38,95,"eGFR >= 90","poaf_icd","EICU",TRUE
0.3236,0.2558,0.4095,0,0.0591,0.1626,1759,104,286,"eGFR >= 90","encephalopathy_icd","EICU",TRUE
0.8014,0.6311,1.0176,0.069272,0.1063,0.1292,1308,139,169,"eGFR 60-89","aki_48h","EICU",FALSE
0.7925,0.6375,0.9851,0.036117,0.1323,0.1613,1308,173,211,"eGFR 60-89","aki_7d","EICU",TRUE
1.1108,0.7429,1.6609,0.608721,0.0398,0.0359,1308,52,47,"eGFR 60-89","aki_stage2","EICU",FALSE
0.5391,0.3019,0.9626,0.036723,0.0138,0.0252,1308,18,33,"eGFR 60-89","aki_stage3","EICU",TRUE
0.7875,0.5965,1.0396,0.091781,0.0588,0.0735,1632,96,120,"eGFR 60-89","hosp_mortality","EICU",FALSE
0.5241,0.3788,0.7251,9.6e-05,0.0362,0.0668,1632,59,109,"eGFR 60-89","poaf","EICU",TRUE
0.2778,0.2126,0.3631,0,0.0466,0.1495,1632,76,244,"eGFR 60-89","encephalopathy_delirium","EICU",TRUE
NA,NA,NA,NA,NA,NA,1632,0,0,"eGFR 60-89","transfusion","EICU",FALSE
NA,NA,NA,NA,NA,NA,1632,0,0,"eGFR 60-89","reintubation","EICU",FALSE
0.9205,0.6808,1.2447,0.590664,0.0527,0.057,1632,86,93,"eGFR 60-89","vent_arrhythmia","EICU",FALSE
0.5241,0.3788,0.7251,9.6e-05,0.0362,0.0668,1632,59,109,"eGFR 60-89","poaf_icd","EICU",TRUE
0.2778,0.2126,0.3631,0,0.0466,0.1495,1632,76,244,"eGFR 60-89","encephalopathy_icd","EICU",TRUE
1.5213,1.066,2.1711,0.02076,0.1824,0.1279,477,87,61,"eGFR 45-59","aki_48h","EICU",TRUE
1.5554,1.1135,2.1727,0.009588,0.2138,0.1488,477,102,71,"eGFR 45-59","aki_7d","EICU",TRUE
1.6075,0.7709,3.3522,0.20551,0.0398,0.0252,477,19,12,"eGFR 45-59","aki_stage2","EICU",FALSE
1.4569,0.6162,3.4445,0.391348,0.0273,0.0189,477,13,9,"eGFR 45-59","aki_stage3","EICU",FALSE
1.2261,0.8533,1.7618,0.270306,0.1156,0.0963,623,72,60,"eGFR 45-59","hosp_mortality","EICU",FALSE
0.5682,0.3484,0.9268,0.023533,0.0433,0.0738,623,27,46,"eGFR 45-59","poaf","EICU",TRUE
0.3806,0.2571,0.5634,1e-06,0.0626,0.1493,623,39,93,"eGFR 45-59","encephalopathy_delirium","EICU",TRUE
NA,NA,NA,NA,NA,NA,623,0,0,"eGFR 45-59","transfusion","EICU",FALSE
NA,NA,NA,NA,NA,NA,623,0,0,"eGFR 45-59","reintubation","EICU",FALSE
1.2267,0.7626,1.9731,0.399511,0.0642,0.053,623,40,33,"eGFR 45-59","vent_arrhythmia","EICU",FALSE
0.5682,0.3484,0.9268,0.023533,0.0433,0.0738,623,27,46,"eGFR 45-59","poaf_icd","EICU",TRUE
0.3806,0.2571,0.5634,1e-06,0.0626,0.1493,623,39,93,"eGFR 45-59","encephalopathy_icd","EICU",TRUE
1.8724,1.2598,2.7828,0.001919,0.2026,0.1195,385,78,46,"eGFR 30-44","aki_48h","EICU",TRUE
1.646,1.1393,2.378,0.007941,0.226,0.1506,385,87,58,"eGFR 30-44","aki_7d","EICU",TRUE
0.8059,0.3819,1.7008,0.571282,0.0338,0.0416,385,13,16,"eGFR 30-44","aki_stage2","EICU",FALSE
2.9012,1.3346,6.3069,0.007177,0.0649,0.0234,385,25,9,"eGFR 30-44","aki_stage3","EICU",TRUE
1.8983,1.2345,2.919,0.003503,0.1342,0.0755,477,64,36,"eGFR 30-44","hosp_mortality","EICU",TRUE
0.8515,0.5172,1.4017,0.527201,0.065,0.0755,477,31,36,"eGFR 30-44","poaf","EICU",FALSE
0.5637,0.3839,0.8277,0.003447,0.1006,0.1656,477,48,79,"eGFR 30-44","encephalopathy_delirium","EICU",TRUE
NA,NA,NA,NA,NA,NA,477,0,0,"eGFR 30-44","transfusion","EICU",FALSE
NA,NA,NA,NA,NA,NA,477,0,0,"eGFR 30-44","reintubation","EICU",FALSE
