"variable","outcome","p_interaction","sig","db"
"Age >= 65","aki_7d",0.0129,TRUE,"EICU"
"Age >= 65","aki_48h",0.0278,TRUE,"EICU"
"Age >= 65","hosp_mortality",0,TRUE,"EICU"
"eGFR < 60","aki_7d",0,TRUE,"EICU"
"eGFR < 60","aki_48h",0,TRUE,"EICU"
"eGFR < 60","hosp_mortality",0,TRUE,"EICU"
"CABG","aki_7d",0.903,FALSE,"EICU"
"CABG","aki_48h",0.8706,FALSE,"EICU"
"CABG","hosp_mortality",0,TRUE,"EICU"
"Diabetes","aki_7d",0.0042,TRUE,"EICU"
"Diabetes","aki_48h",0.0143,TRUE,"EICU"
"Diabetes","hosp_mortality",0.5831,FALSE,"EICU"
"CKD","aki_7d",0.8987,FALSE,"EICU"
"CKD","aki_48h",0.3628,FALSE,"EICU"
"CKD","hosp_mortality",0.6374,FALSE,"EICU"
"Heart failure","aki_7d",0.4808,FALSE,"EICU"
"Heart failure","aki_48h",0.6018,FALSE,"EICU"
"Heart failure","hosp_mortality",0.0167,TRUE,"EICU"
"BMI >= 30","aki_7d",0.0031,TRUE,"EICU"
"BMI >= 30","aki_48h",0.0074,TRUE,"EICU"
"BMI >= 30","hosp_mortality",0.2649,FALSE,"EICU"
