"variable","outcome","p_interaction","sig","db"
"Age >= 65","aki_7d",0,TRUE,"MIMIC"
"Age >= 65","aki_48h",0,TRUE,"MIMIC"
"Age >= 65","hosp_mortality",0.2872,FALSE,"MIMIC"
"eGFR < 60","aki_7d",0,TRUE,"MIMIC"
"eGFR < 60","aki_48h",0,TRUE,"MIMIC"
"eGFR < 60","hosp_mortality",0,TRUE,"MIMIC"
"CABG","aki_7d",0.1543,FALSE,"MIMIC"
"CABG","aki_48h",0.3222,FALSE,"MIMIC"
"CABG","hosp_mortality",0.003,TRUE,"MIMIC"
"Diabetes","aki_7d",0,TRUE,"MIMIC"
"Diabetes","aki_48h",2e-04,TRUE,"MIMIC"
"Diabetes","hosp_mortality",0.047,TRUE,"MIMIC"
"CKD","aki_7d",0,TRUE,"MIMIC"
"CKD","aki_48h",0,TRUE,"MIMIC"
"CKD","hosp_mortality",0,TRUE,"MIMIC"
"Heart failure","aki_7d",0.0075,TRUE,"MIMIC"
"Heart failure","aki_48h",0.0171,TRUE,"MIMIC"
"Heart failure","hosp_mortality",0.1709,FALSE,"MIMIC"
"BMI >= 30","aki_7d",0.0438,TRUE,"MIMIC"
"BMI >= 30","aki_48h",0.0194,TRUE,"MIMIC"
"BMI >= 30","hosp_mortality",0.0774,FALSE,"MIMIC"
