"or","or_lo","or_hi","p","rate_trt","rate_ctl","n","events_trt","events_ctl","subgroup","outcome","db","sig"
0.909,0.8368,0.9875,0.023923,0.2208,0.2377,6349,1402,1509,"Overall","aki_48h","MIMIC",TRUE
0.9057,0.8374,0.9795,0.013225,0.2604,0.2799,6349,1653,1777,"Overall","aki_7d","MIMIC",TRUE
0.9706,0.8342,1.1293,0.699345,0.0551,0.0567,6349,350,360,"Overall","aki_stage2","MIMIC",FALSE
1.1428,0.8998,1.4515,0.273694,0.0232,0.0203,6349,147,129,"Overall","aki_stage3","MIMIC",FALSE
0.8812,0.7313,1.0619,0.183881,0.034,0.0384,6354,216,244,"Overall","hosp_mortality","MIMIC",FALSE
1.3255,1.2137,1.4475,0,0.218,0.1737,6354,1385,1104,"Overall","poaf","MIMIC",TRUE
1.2021,1.0485,1.3782,0.008327,0.076,0.0641,6354,483,407,"Overall","encephalopathy_delirium","MIMIC",TRUE
1.0972,0.978,1.2308,0.113817,0.1064,0.0979,6354,676,622,"Overall","transfusion","MIMIC",FALSE
1.3793,1.0999,1.7297,0.005364,0.0286,0.0209,6354,182,133,"Overall","reintubation","MIMIC",TRUE
1.158,1.002,1.3383,0.046926,0.0661,0.0576,6354,420,366,"Overall","vent_arrhythmia","MIMIC",TRUE
1.0159,0.9397,1.0983,0.690814,0.2756,0.2724,6354,1751,1731,"Overall","poaf_icd","MIMIC",FALSE
0.9042,0.7952,1.0281,0.124216,0.0762,0.0836,6354,484,531,"Overall","encephalopathy_icd","MIMIC",FALSE
0.586,0.5065,0.6781,0,0.1474,0.2279,2462,363,561,"Age < 65","aki_48h","MIMIC",TRUE
0.6292,0.5496,0.7203,0,0.186,0.2665,2462,458,656,"Age < 65","aki_7d","MIMIC",TRUE
0.8538,0.6479,1.1252,0.261828,0.0398,0.0463,2462,98,114,"Age < 65","aki_stage2","MIMIC",FALSE
1.1457,0.7543,1.7403,0.523655,0.0195,0.0171,2462,48,42,"Age < 65","aki_stage3","MIMIC",FALSE
0.7565,0.5395,1.0607,0.105589,0.0248,0.0325,2463,61,80,"Age < 65","hosp_mortality","MIMIC",FALSE
0.8183,0.7037,0.9515,0.009172,0.1514,0.179,2463,373,441,"Age < 65","poaf","MIMIC",TRUE
0.6665,0.519,0.8559,0.001478,0.0443,0.065,2463,109,160,"Age < 65","encephalopathy_delirium","MIMIC",TRUE
0.8255,0.6758,1.0083,0.060243,0.0784,0.0934,2463,193,230,"Age < 65","transfusion","MIMIC",FALSE
