"method","target_h","n_trt","n_ctl","did","se","p","ci_lo","ci_hi"
"sIPTW",6,4263,14413,-0.0226,0.008,0.0048,-0.0383,-0.0069
"sIPTW_t99",6,4263,14413,-0.0214,0.0061,5e-04,-0.0334,-0.0093
"sIPTW_t95",6,4263,14413,-0.0203,0.0054,2e-04,-0.0309,-0.0097
"sIPTW_DR",6,4263,14413,-0.0229,0.0062,2e-04,-0.035,-0.0107
"AIPW",6,4263,14413,-0.027,0.0033,0,-0.0334,-0.0206
"sIPTW",9,4263,14413,-0.0224,0.0081,0.0056,-0.0383,-0.0066
"sIPTW_t99",9,4263,14413,-0.0209,0.0063,8e-04,-0.0332,-0.0087
"sIPTW_t95",9,4263,14413,-0.0198,0.0055,3e-04,-0.0306,-0.0091
"sIPTW_DR",9,4263,14413,-0.0225,0.0063,4e-04,-0.0349,-0.0101
"AIPW",9,4263,14413,-0.0273,0.0033,0,-0.0339,-0.0208
"sIPTW",12,4263,14413,-0.0229,0.0082,0.0053,-0.0391,-0.0068
"sIPTW_t99",12,4263,14413,-0.0212,0.0064,0.001,-0.0339,-0.0086
"sIPTW_t95",12,4263,14413,-0.0197,0.0057,5e-04,-0.0309,-0.0086
"sIPTW_DR",12,4263,14413,-0.0228,0.0065,5e-04,-0.0356,-0.01
"AIPW",12,4263,14413,-0.0282,0.0034,0,-0.0349,-0.0215
"sIPTW",15,4263,14413,-0.0036,0.0193,0.8516,-0.0415,0.0342
"sIPTW_t99",15,4263,14413,-0.0074,0.0138,0.5936,-0.0345,0.0197
"sIPTW_t95",15,4263,14413,-0.0127,0.0085,0.1346,-0.0293,0.0039
"sIPTW_DR",15,4263,14413,-0.0084,0.0142,0.5568,-0.0363,0.0195
"AIPW",15,4263,14413,-0.0271,0.0035,0,-0.0339,-0.0202
"sIPTW",18,4263,14413,-0.0014,0.0195,0.9412,-0.0397,0.0368
"sIPTW_t99",18,4263,14413,-0.0053,0.0141,0.7037,-0.0329,0.0222
"sIPTW_t95",18,4263,14413,-0.011,0.0087,0.2052,-0.0281,0.006
"sIPTW_DR",18,4263,14413,-0.0063,0.0145,0.6638,-0.0346,0.0221
"AIPW",18,4263,14413,-0.0268,0.0036,0,-0.0339,-0.0197
"sIPTW",21,4263,14413,-0.0022,0.0198,0.9134,-0.0409,0.0366
"sIPTW_t99",21,4263,14413,-0.0068,0.0143,0.6351,-0.0349,0.0213
"sIPTW_t95",21,4263,14413,-0.0133,0.0089,0.1355,-0.0308,0.0042
"sIPTW_DR",21,4263,14413,-0.0079,0.0147,0.5925,-0.0368,0.021
"AIPW",21,4263,14413,-0.0291,0.0037,0,-0.0365,-0.0218
"sIPTW",24,4263,14413,-0.0038,0.02,0.8498,-0.0429,0.0354
"sIPTW_t99",24,4263,14413,-0.0092,0.0146,0.5255,-0.0378,0.0193
"sIPTW_t95",24,4263,14413,-0.0159,0.0092,0.084,-0.0338,0.0021
"sIPTW_DR",24,4263,14413,-0.0109,0.015,0.4666,-0.0403,0.0185
"AIPW",24,4263,14413,-0.0338,0.0039,0,-0.0415,-0.0261
"sIPTW",27,4263,14413,-0.023,0.0098,0.0185,-0.0421,-0.0039
"sIPTW_t99",27,4263,14413,-0.0226,0.0084,0.0069,-0.0391,-0.0062
"sIPTW_t95",27,4263,14413,-0.023,0.0071,0.0012,-0.037,-0.0091
"sIPTW_DR",27,4263,14413,-0.025,0.0085,0.0035,-0.0417,-0.0082
"AIPW",27,4263,14413,-0.0374,0.0041,0,-0.0455,-0.0293
"sIPTW",30,4263,14413,-0.0197,0.0127,0.1197,-0.0446,0.0051
"sIPTW_t99",30,4263,14413,-0.0228,0.0096,0.0173,-0.0416,-0.004
"sIPTW_t95",30,4263,14413,-0.0243,0.0079,0.0021,-0.0397,-0.0088
"sIPTW_DR",30,4263,14413,-0.0252,0.0098,0.0102,-0.0444,-0.006
"AIPW",30,4263,14413,-0.0422,0.0043,0,-0.0505,-0.0338
"sIPTW",33,4263,14413,-0.0216,0.0128,0.0904,-0.0466,0.0034
"sIPTW_t99",33,4263,14413,-0.0245,0.0097,0.0118,-0.0436,-0.0054
"sIPTW_t95",33,4263,14413,-0.0257,0.0081,0.0015,-0.0415,-0.0098
"sIPTW_DR",33,4263,14413,-0.0272,0.01,0.0064,-0.0467,-0.0076
"AIPW",33,4263,14413,-0.043,0.0043,0,-0.0515,-0.0345
"sIPTW",36,4263,14413,-0.0162,0.0186,0.3828,-0.0526,0.0202
"sIPTW_t99",36,4263,14413,-0.0145,0.0155,0.3478,-0.0449,0.0158
"sIPTW_t95",36,4263,14413,-0.0204,0.0108,0.0592,-0.0416,8e-04
"sIPTW_DR",36,4263,14413,-0.0166,0.0161,0.3014,-0.0481,0.0149
"AIPW",36,4263,14413,-0.0424,0.0045,0,-0.0511,-0.0337
