"method","target_h","n_trt","n_ctl","did","se","p","ci_lo","ci_hi"
"sIPTW",6,6151,6211,0.0019,0.0068,0.7859,-0.0116,0.0153
"sIPTW_t99",6,6151,6211,0.0049,0.0047,0.3006,-0.0044,0.0142
"sIPTW_t95",6,6151,6211,0.0064,0.0039,0.096,-0.0011,0.014
"sIPTW_DR",6,6151,6211,0.0035,0.0053,0.5168,-0.007,0.0139
"AIPW",6,6151,6211,0.0056,0.0029,0.0549,-1e-04,0.0113
"sIPTW",9,6151,6211,0.0012,0.0066,0.8605,-0.0118,0.0141
"sIPTW_t99",9,6151,6211,0.0039,0.0045,0.385,-0.0049,0.0127
"sIPTW_t95",9,6151,6211,0.0052,0.0037,0.1521,-0.0019,0.0124
"sIPTW_DR",9,6151,6211,0.0023,0.0051,0.6453,-0.0076,0.0122
"AIPW",9,6151,6211,0.0048,0.0029,0.0966,-9e-04,0.0105
"sIPTW",12,6151,6211,0.0017,0.0067,0.7974,-0.0113,0.0148
"sIPTW_t99",12,6151,6211,0.0041,0.0046,0.3629,-0.0048,0.0131
"sIPTW_t95",12,6151,6211,0.0055,0.0037,0.1421,-0.0018,0.0128
"sIPTW_DR",12,6151,6211,0.0027,0.0051,0.5965,-0.0073,0.0128
"AIPW",12,6151,6211,0.0047,0.003,0.1094,-0.0011,0.0105
"sIPTW",15,6151,6211,0.0019,0.007,0.7882,-0.0118,0.0156
"sIPTW_t99",15,6151,6211,0.0032,0.0052,0.5406,-0.007,0.0133
"sIPTW_t95",15,6151,6211,0.0048,0.0041,0.2428,-0.0032,0.0127
"sIPTW_DR",15,6151,6211,0.0022,0.0058,0.7052,-0.0092,0.0136
"AIPW",15,6151,6211,0.0028,0.0031,0.3672,-0.0033,0.0089
"sIPTW",18,6151,6211,8e-04,0.0078,0.9183,-0.0145,0.0161
"sIPTW_t99",18,6151,6211,6e-04,0.0055,0.9158,-0.0103,0.0115
"sIPTW_t95",18,6151,6211,0.002,0.0044,0.6419,-0.0066,0.0106
"sIPTW_DR",18,6151,6211,6e-04,0.0062,0.9187,-0.0115,0.0128
"AIPW",18,6151,6211,0.0011,0.0033,0.7434,-0.0053,0.0075
"sIPTW",21,6151,6211,-0.0018,0.0081,0.8185,-0.0176,0.0139
"sIPTW_t99",21,6151,6211,-0.0025,0.0058,0.6741,-0.0139,0.009
"sIPTW_t95",21,6151,6211,-0.0014,0.0047,0.7683,-0.0105,0.0078
"sIPTW_DR",21,6151,6211,-0.0014,0.0065,0.8343,-0.0141,0.0114
"AIPW",21,6151,6211,-0.0017,0.0035,0.6268,-0.0085,0.0051
"sIPTW",24,6151,6211,-0.0068,0.0093,0.4641,-0.025,0.0114
"sIPTW_t99",24,6151,6211,-0.0087,0.0066,0.1869,-0.0217,0.0042
"sIPTW_t95",24,6151,6211,-0.0072,0.0052,0.1684,-0.0173,0.003
"sIPTW_DR",24,6151,6211,-0.0067,0.0073,0.3615,-0.021,0.0077
"AIPW",24,6151,6211,-0.0054,0.0038,0.152,-0.0128,0.002
"sIPTW",27,6151,6211,-0.0136,0.0099,0.1695,-0.033,0.0058
"sIPTW_t99",27,6151,6211,-0.0141,0.007,0.0438,-0.0279,-4e-04
"sIPTW_t95",27,6151,6211,-0.0118,0.0056,0.0368,-0.0228,-7e-04
"sIPTW_DR",27,6151,6211,-0.0117,0.0078,0.1312,-0.027,0.0035
"AIPW",27,6151,6211,-0.0112,0.0041,0.0061,-0.0192,-0.0032
"sIPTW",30,6151,6211,-0.0208,0.0104,0.0447,-0.0411,-5e-04
"sIPTW_t99",30,6151,6211,-0.0237,0.0074,0.0013,-0.0382,-0.0093
"sIPTW_t95",30,6151,6211,-0.0217,0.0061,4e-04,-0.0337,-0.0098
"sIPTW_DR",30,6151,6211,-0.0204,0.0082,0.0123,-0.0364,-0.0044
"AIPW",30,6151,6211,-0.0203,0.0044,0,-0.0289,-0.0118
"sIPTW",33,6151,6211,-0.0242,0.0121,0.0447,-0.0479,-6e-04
"sIPTW_t99",33,6151,6211,-0.0332,0.0079,0,-0.0487,-0.0178
"sIPTW_t95",33,6151,6211,-0.0317,0.0065,0,-0.0444,-0.019
"sIPTW_DR",33,6151,6211,-0.0287,0.0086,9e-04,-0.0456,-0.0118
"AIPW",33,6151,6211,-0.03,0.0045,0,-0.0389,-0.0211
"sIPTW",36,6151,6211,-0.0205,0.0127,0.1059,-0.0453,0.0043
"sIPTW_t99",36,6151,6211,-0.0316,0.0082,1e-04,-0.0476,-0.0156
"sIPTW_t95",36,6151,6211,-0.0305,0.0068,0,-0.0437,-0.0172
"sIPTW_DR",36,6151,6211,-0.0262,0.0089,0.0033,-0.0437,-0.0087
"AIPW",36,6151,6211,-0.0288,0.0048,0,-0.0383,-0.0194
