"variable","nice_name","raw","matched"
"ckd","CKD",0.00238420251852092,0.0305810309978162
"stroke","Stroke",0.00568494449783986,0.00564020854635922
"heart_failure","Heart failure",0.00969100236032528,0.0146292092382478
"hypertension","Hypertension",0.0101415277867945,0.0206375009546399
"nsaids","NSAIDs",0.0112738965607787,0.00102864719149439
"pvd","PVD",0.0130195829114463,0.0207837333467281
"liver_disease","Liver disease",0.0219104968238141,0.0189143058654071
"surg_combined","Combined surgery",0.0272382172290447,0.00127006603823903
"is_female","Female sex",0.0348268903667006,0.0206972600912085
"surg_valve","Valve surgery",0.0352619073105633,0.0894343048499815
"surg_cabg","CABG",0.0372374080918473,0.0580696615348614
"copd","COPD",0.0498740499892381,0.0519244754370699
"bmi","BMI",0.0550290942424261,0.0376398498877262
"age","Age",0.0569152369956227,0.0520780165363337
"egfr","eGFR",0.0576128831319742,0.00032938462959904
"diabetes","Diabetes",0.0606785033372465,0.00188444086030346
"first_heartrate","Heart rate",0.0620580145982336,0.0432678808277967
"first_lactate","Lactate",0.071133145900996,0.000637910435852225
"first_potassium","Potassium",0.0863056664786148,0.0215076202315479
"first_calcium","Calcium",0.0870186309597664,0.00881800455954223
"acei_arb","ACEi/ARB",0.284832251887246,0.178508345762747
"lactate_missing","Lactate missing",0.338066599407487,0.050921592423855
"first_mg_value","Serum Mg",0.365234276554715,0.101827763543307
"steroids","Steroids",0.437723972314567,0.280708108681633
"ppi","PPI",0.526324067794704,0.243080372546672
"loop_diuretics","Loop diuretics",0.714924626930763,0.380313288799652
"antiarrhythmics","Antiarrhythmics",0.735301918564949,0.398261270287129
"beta_blockers","Beta blockers",0.793144378763383,0.386290709915552
