"variable","nice_name","raw","matched"
"first_mg_value","Serum Mg",0.00371544114424155,0.0818756051479572
"first_potassium","Potassium",0.0149334862008836,0.00187920051779041
"liver_disease","Liver disease",0.0246635609035016,0.00988519080477669
"age","Age",0.0424370599319909,0.0294302974652544
"stroke","Stroke",0.0435047952320101,0.0467057624366426
"heart_failure","Heart failure",0.0451184784784963,0.078791768622168
"pvd","PVD",0.0494822252669971,0.0286202671173827
"copd","COPD",0.0560227817503189,0.0169873184664965
"first_heartrate","Heart rate",0.0664143816973467,0.0273916333427671
"diabetes","Diabetes",0.0666179606091602,0.0150092687166331
"hypertension","Hypertension",0.0684392869612841,0.0137572206705823
"bmi","BMI",0.0780428400352247,0.0137956088296062
"is_female","Female sex",0.0882660338830807,0.018498016582901
"egfr","eGFR",0.106265354161335,0.0209201103532676
"surg_combined","Combined surgery",0.13210157208224,0.0589604535956682
"first_lactate","Lactate",0.133031472396683,0.0580617675685844
"steroids","Steroids",0.134663215240855,0.098412528070052
"surg_cabg","CABG",0.142445803803336,0.0991123333785136
"first_calcium","Calcium",0.154738774800849,0.113324453840466
"ckd","CKD",0.158164041824814,0.0503176727971017
"surg_valve","Valve surgery",0.176145126057998,0.0616335634987374
"lactate_missing","Lactate missing",0.2765228886773,0.259115505428488
"antiarrhythmics","Antiarrhythmics",0.320544930806263,0.221992333629437
"nsaids","NSAIDs",0.475634624284734,0.302072674328937
"ppi","PPI",0.513459335291273,0.318966220755952
"acei_arb","ACEi/ARB",0.640095283842198,0.576970650872358
"loop_diuretics","Loop diuretics",0.857912844152415,0.671413750985878
"beta_blockers","Beta blockers",1.25982765574011,0.892035690806374
