"spec","pool","target_h","method","n","did","se","p","ci_lo","ci_hi","max_smd","n_viol","db"
"primary","yet_untreated",6,"psm",3425,0.00870948905109492,0.00762112957848901,0.253158203060899,-0.00622792492274354,0.0236469030249334,0.11157083609311,1,"EICU"
"primary","yet_untreated",6,"psm_dr",3425,0.00855241105511917,0.0075366421803847,0.25650833067749,-0.00621940761843484,0.0233242297286732,0.11157083609311,1,"EICU"
"primary","yet_untreated",12,"psm",2853,0.0196775324220119,0.0108509410652826,0.0698164901797269,-0.00159031206594207,0.0409453769099659,0.11157083609311,1,"EICU"
"primary","yet_untreated",12,"psm_dr",2853,0.0189422370848198,0.0107035253229861,0.0768273117248979,-0.00203667254823289,0.0399211467178725,0.11157083609311,1,"EICU"
"primary","yet_untreated",18,"psm",2939,0.00152432800272201,0.00892383648615444,0.864374862198517,-0.0159663915101407,0.0190150475155847,0.11157083609311,1,"EICU"
"primary","yet_untreated",18,"psm_dr",2939,0.00117901988961458,0.00886709678919559,0.894225046726145,-0.0162004898172088,0.0185585295964379,0.11157083609311,1,"EICU"
"primary","yet_untreated",24,"psm",2751,-0.000581606688476904,0.0102813146110864,0.954890351638464,-0.0207329833262062,0.0195697699492524,0.11157083609311,1,"EICU"
"primary","yet_untreated",24,"psm_dr",2751,-0.000805266501578912,0.0102240915969481,0.937225060055012,-0.0208444860315972,0.0192339530284393,0.11157083609311,1,"EICU"
"primary","yet_untreated",30,"psm",2454,-0.0130521597392013,0.0117874010009306,0.268219608696202,-0.0361554657010252,0.0100511462226226,0.11157083609311,1,"EICU"
"primary","yet_untreated",30,"psm_dr",2454,-0.0131859294588041,0.0117452925173684,0.261638341262712,-0.0362067027928462,0.00983484387523802,0.11157083609311,1,"EICU"
"primary","yet_untreated",36,"psm",2080,-0.0208365384615385,0.0144846111287447,0.150359174599971,-0.0492263762738781,0.00755329935080113,0.11157083609311,1,"EICU"
"primary","yet_untreated",36,"psm_dr",2080,-0.021429755712495,0.0143850351327387,0.136372252775092,-0.0496244245726629,0.00676491314767294,0.11157083609311,1,"EICU"
"primary","yet_untreated",42,"psm",1975,-0.031179746835443,0.0156161520611813,0.0459334564840671,-0.0617874048753584,-0.000572088795527712,0.11157083609311,1,"EICU"
"primary","yet_untreated",42,"psm_dr",1975,-0.0317326179707554,0.0155023211721454,0.040728181735526,-0.0621171674681605,-0.00134806847335038,0.11157083609311,1,"EICU"
"primary","yet_untreated",48,"psm",1817,-0.0217776554760594,0.0167483345253251,0.193584843038061,-0.0546043911456966,0.0110490801935777,0.11157083609311,1,"EICU"
"primary","yet_untreated",48,"psm_dr",1817,-0.0223645134068731,0.0166644196516189,0.179663130401696,-0.0550267759240462,0.0102977491103,0.11157083609311,1,"EICU"
"sens_a","yet_untreated",6,"psm",3355,0.0127779433681073,0.00736088541563441,0.082623053476125,-0.00164939204653611,0.0272052787827508,0.124375893040758,2,"EICU"
"sens_a","yet_untreated",6,"psm_dr",3355,0.0130525564817243,0.00729193960153089,0.0734993520516022,-0.00123964513727625,0.0273447581007248,0.124375893040758,2,"EICU"
"sens_a","yet_untreated",12,"psm",2774,0.0243727469358327,0.0105779573341775,0.0212534143181916,0.00363995056084483,0.0451055433108206,0.124375893040758,2,"EICU"
"sens_a","yet_untreated",12,"psm_dr",2774,0.0247392965506311,0.0104420670191511,0.0178609021273816,0.00427284519309492,0.0452057479081673,0.124375893040758,2,"EICU"
"sens_a","yet_untreated",18,"psm",2888,0.0171641274238227,0.00900098050981635,0.0565808496201134,-0.000477794375417343,0.0348060492230628,0.124375893040758,2,"EICU"
