"db","strat_var","stratum","target_h","did","se","p","ci_lo","ci_hi","n"
"EICU","Overall","Overall",6,-0.00605,0.02287,0.7915,-0.05086,0.03877,205
"EICU","Overall","Overall",12,0.00874,0.0132,0.50808,-0.01713,0.03461,753
"EICU","Overall","Overall",18,0.02945,0.01593,0.06468,-0.00178,0.06068,1504
"EICU","Overall","Overall",24,0.00733,0.01095,0.5028,-0.01412,0.02879,2799
"EICU","Overall","Overall",30,0.00887,0.0114,0.43667,-0.01348,0.03121,3155
"EICU","Overall","Overall",36,0.00645,0.01164,0.57959,-0.01637,0.02927,3209
"EICU","Overall","Overall",42,0.00134,0.01178,0.90965,-0.02174,0.02442,3270
"EICU","Overall","Overall",48,0.00855,0.01227,0.4857,-0.01549,0.0326,3341
"EICU","Overall","Overall",168,-0.00046,0.01513,0.97574,-0.03012,0.0292,3434
"EICU","eGFR","Overall",6,-0.00605,0.02287,0.7915,-0.05086,0.03877,205
"EICU","eGFR","Overall",12,0.00874,0.0132,0.50808,-0.01713,0.03461,753
"EICU","eGFR","Overall",18,0.02945,0.01593,0.06468,-0.00178,0.06068,1504
"EICU","eGFR","Overall",24,0.00733,0.01095,0.5028,-0.01412,0.02879,2799
"EICU","eGFR","Overall",30,0.00887,0.0114,0.43667,-0.01348,0.03121,3155
"EICU","eGFR","Overall",36,0.00645,0.01164,0.57959,-0.01637,0.02927,3209
"EICU","eGFR","Overall",42,0.00134,0.01178,0.90965,-0.02174,0.02442,3270
"EICU","eGFR","Overall",48,0.00855,0.01227,0.4857,-0.01549,0.0326,3341
"EICU","eGFR","Overall",168,-0.00046,0.01513,0.97574,-0.03012,0.0292,3434
"EICU","eGFR","eGFR>=90",6,0.03744,0.02676,0.16384,-0.01501,0.08989,78
"EICU","eGFR","eGFR>=90",12,0.02455,0.01963,0.21163,-0.01392,0.06302,255
"EICU","eGFR","eGFR>=90",18,0.01632,0.01308,0.21242,-0.00932,0.04195,516
"EICU","eGFR","eGFR>=90",24,-0.00543,0.01585,0.73222,-0.0365,0.02565,1010
"EICU","eGFR","eGFR>=90",30,-0.00677,0.01469,0.64494,-0.03556,0.02202,1176
"EICU","eGFR","eGFR>=90",36,-0.01407,0.01494,0.34629,-0.04334,0.01521,1204
"EICU","eGFR","eGFR>=90",42,-0.02662,0.01525,0.08105,-0.05652,0.00327,1223
"EICU","eGFR","eGFR>=90",48,-0.01818,0.01767,0.30362,-0.05281,0.01645,1258
"EICU","eGFR","eGFR>=90",168,-0.06353,0.02152,0.00318,-0.1057,-0.02136,1290
"EICU","eGFR","eGFR_60-89",6,-0.08031,0.03608,0.02778,-0.15102,-0.0096,64
"EICU","eGFR","eGFR_60-89",12,-0.00538,0.01783,0.76315,-0.04032,0.02957,266
"EICU","eGFR","eGFR_60-89",18,-0.01174,0.01593,0.46136,-0.04295,0.01948,524
"EICU","eGFR","eGFR_60-89",24,-0.01544,0.01154,0.18124,-0.03806,0.00719,958
"EICU","eGFR","eGFR_60-89",30,-0.00757,0.01798,0.67383,-0.04281,0.02767,1061
"EICU","eGFR","eGFR_60-89",36,-0.0136,0.0186,0.46473,-0.05005,0.02285,1078
"EICU","eGFR","eGFR_60-89",42,-0.01919,0.01852,0.30032,-0.05549,0.01711,1107
"EICU","eGFR","eGFR_60-89",48,-0.01844,0.01855,0.32033,-0.0548,0.01792,1128
"EICU","eGFR","eGFR_60-89",168,-0.0305,0.02479,0.21878,-0.07909,0.0181,1166
"EICU","eGFR","eGFR_45-59",6,0.06677,0.07412,0.37125,-0.0785,0.21205,31
"EICU","eGFR","eGFR_45-59",12,0.05136,0.04187,0.22133,-0.0307,0.13342,103
"EICU","eGFR","eGFR_45-59",18,0.09856,0.06119,0.10807,-0.02137,0.21849,194
"EICU","eGFR","eGFR_45-59",24,0.06496,0.03835,0.0908,-0.01022,0.14013,339
"EICU","eGFR","eGFR_45-59",30,0.06385,0.03695,0.08438,-0.00857,0.13628,384
"EICU","eGFR","eGFR_45-59",36,0.07388,0.03776,0.05076,-0.00013,0.14789,389
"EICU","eGFR","eGFR_45-59",42,0.07596,0.03845,0.04853,0.00061,0.15131,396
"EICU","eGFR","eGFR_45-59",48,0.0878,0.03903,0.02474,0.01131,0.16429,404
"EICU","eGFR","eGFR_45-59",168,0.1492,0.04843,0.00213,0.05428,0.24413,415
"EICU","eGFR","eGFR_30-44",6,NA,NA,NA,NA,NA,19
"EICU","eGFR","eGFR_30-44",12,-0.00653,0.04644,0.88832,-0.09756,0.08449,75
"EICU","eGFR","eGFR_30-44",18,0.1477,0.10985,0.17979,-0.06761,0.363,152
"EICU","eGFR","eGFR_30-44",24,0.08599,0.06213,0.1669,-0.03579,0.20778,287
"EICU","eGFR","eGFR_30-44",30,0.07324,0.05755,0.20363,-0.03956,0.18604,318
"EICU","eGFR","eGFR_30-44",36,0.08062,0.05815,0.16607,-0.03335,0.19459,322
"EICU","eGFR","eGFR_30-44",42,0.08856,0.05854,0.13083,-0.02618,0.20331,327
"EICU","eGFR","eGFR_30-44",48,0.10323,0.05877,0.07947,-0.01196,0.21843,331
"EICU","eGFR","eGFR_30-44",168,0.11038,0.06312,0.0808,-0.01334,0.23411,338
"EICU","eGFR","eGFR<30",6,NA,NA,NA,NA,NA,13
"EICU","eGFR","eGFR<30",12,-0.05648,0.08366,0.50105,-0.22045,0.10749,54
"EICU","eGFR","eGFR<30",18,0.00381,0.05286,0.94255,-0.0998,0.10742,118
"EICU","eGFR","eGFR<30",24,-0.02878,0.04127,0.48598,-0.10967,0.05211,205
"EICU","eGFR","eGFR<30",30,-0.01778,0.04498,0.69283,-0.10593,0.07037,216
"EICU","eGFR","eGFR<30",36,-0.01111,0.04677,0.81232,-0.10278,0.08056,216
"EICU","eGFR","eGFR<30",42,-0.00401,0.04905,0.93489,-0.10014,0.09212,217
"EICU","eGFR","eGFR<30",48,0.01186,0.04943,0.81044,-0.08502,0.10875,220
"EICU","eGFR","eGFR<30",168,0.07427,0.06645,0.26429,-0.05597,0.2045,225
"EICU","Mg","Overall",6,-0.00605,0.02287,0.7915,-0.05086,0.03877,205
"EICU","Mg","Overall",12,0.00874,0.0132,0.50808,-0.01713,0.03461,753
"EICU","Mg","Overall",18,0.02945,0.01593,0.06468,-0.00178,0.06068,1504
"EICU","Mg","Overall",24,0.00733,0.01095,0.5028,-0.01412,0.02879,2799
"EICU","Mg","Overall",30,0.00887,0.0114,0.43667,-0.01348,0.03121,3155
