"db","strat_var","stratum","target_h","did","se","p","ci_lo","ci_hi","n"
"MIMIC","Overall","Overall",6,-0.02127,0.00853,0.01278,-0.03799,-0.00454,790
"MIMIC","Overall","Overall",12,-0.00877,0.005,0.07925,-0.01857,0.00102,3055
"MIMIC","Overall","Overall",18,-0.01315,0.00458,0.00409,-0.02212,-0.00417,4411
"MIMIC","Overall","Overall",24,-0.01033,0.00453,0.02261,-0.01921,-0.00145,5547
"MIMIC","Overall","Overall",30,-0.01172,0.00466,0.01187,-0.02085,-0.00259,6253
"MIMIC","Overall","Overall",36,-0.01204,0.00508,0.01778,-0.022,-0.00209,6277
"MIMIC","Overall","Overall",42,-0.01281,0.00546,0.01897,-0.02351,-0.00211,6284
"MIMIC","Overall","Overall",48,-0.00932,0.00588,0.11325,-0.02085,0.00221,6290
"MIMIC","Overall","Overall",168,-0.0047,0.00908,0.60496,-0.0225,0.01311,6299
"MIMIC","eGFR","Overall",6,-0.02127,0.00853,0.01278,-0.03799,-0.00454,790
"MIMIC","eGFR","Overall",12,-0.00877,0.005,0.07925,-0.01857,0.00102,3055
"MIMIC","eGFR","Overall",18,-0.01315,0.00458,0.00409,-0.02212,-0.00417,4411
"MIMIC","eGFR","Overall",24,-0.01033,0.00453,0.02261,-0.01921,-0.00145,5547
"MIMIC","eGFR","Overall",30,-0.01172,0.00466,0.01187,-0.02085,-0.00259,6253
"MIMIC","eGFR","Overall",36,-0.01204,0.00508,0.01778,-0.022,-0.00209,6277
"MIMIC","eGFR","Overall",42,-0.01281,0.00546,0.01897,-0.02351,-0.00211,6284
"MIMIC","eGFR","Overall",48,-0.00932,0.00588,0.11325,-0.02085,0.00221,6290
"MIMIC","eGFR","Overall",168,-0.0047,0.00908,0.60496,-0.0225,0.01311,6299
"MIMIC","eGFR","eGFR>=90",6,-0.02387,0.0113,0.03502,-0.04603,-0.00172,377
"MIMIC","eGFR","eGFR>=90",12,-0.02505,0.00656,0.00014,-0.03791,-0.01219,1477
"MIMIC","eGFR","eGFR>=90",18,-0.0262,0.0056,0,-0.03718,-0.01522,2164
"MIMIC","eGFR","eGFR>=90",24,-0.03057,0.00539,0,-0.04114,-0.02,2761
"MIMIC","eGFR","eGFR>=90",30,-0.03646,0.00542,0,-0.04708,-0.02583,3179
"MIMIC","eGFR","eGFR>=90",36,-0.03987,0.0058,0,-0.05124,-0.02851,3190
"MIMIC","eGFR","eGFR>=90",42,-0.04391,0.00614,0,-0.05594,-0.03188,3195
"MIMIC","eGFR","eGFR>=90",48,-0.04485,0.00649,0,-0.05757,-0.03214,3197
"MIMIC","eGFR","eGFR>=90",168,-0.08066,0.01029,0,-0.10082,-0.0605,3206
"MIMIC","eGFR","eGFR_60-89",6,-0.00038,0.01457,0.97934,-0.02893,0.02817,265
"MIMIC","eGFR","eGFR_60-89",12,-0.00039,0.00836,0.96323,-0.01677,0.016,1038
"MIMIC","eGFR","eGFR_60-89",18,-0.01415,0.00792,0.07391,-0.02967,0.00136,1484
"MIMIC","eGFR","eGFR_60-89",24,-0.01021,0.00782,0.19132,-0.02553,0.0051,1870
"MIMIC","eGFR","eGFR_60-89",30,-0.00989,0.00814,0.22426,-0.02585,0.00606,2082
"MIMIC","eGFR","eGFR_60-89",36,-0.01135,0.009,0.20756,-0.02899,0.0063,2089
"MIMIC","eGFR","eGFR_60-89",42,-0.01263,0.00959,0.18805,-0.03142,0.00617,2091
"MIMIC","eGFR","eGFR_60-89",48,-0.01175,0.01027,0.25227,-0.03187,0.00837,2093
"MIMIC","eGFR","eGFR_60-89",168,-0.0032,0.01576,0.83903,-0.03409,0.02768,2093
"MIMIC","eGFR","eGFR_45-59",6,-0.05063,0.03194,0.11492,-0.11323,0.01197,79
"MIMIC","eGFR","eGFR_45-59",12,0.02396,0.01845,0.19454,-0.0122,0.06011,288
"MIMIC","eGFR","eGFR_45-59",18,0.03656,0.0183,0.04607,0.00069,0.07242,424
"MIMIC","eGFR","eGFR_45-59",24,0.05058,0.01956,0.00985,0.01224,0.08892,514
"MIMIC","eGFR","eGFR_45-59",30,0.0629,0.02012,0.00181,0.02348,0.10233,558
"MIMIC","eGFR","eGFR_45-59",36,0.0669,0.02194,0.00234,0.02391,0.1099,562
"MIMIC","eGFR","eGFR_45-59",42,0.07206,0.02315,0.0019,0.02669,0.11744,562
"MIMIC","eGFR","eGFR_45-59",48,0.09344,0.02615,0.00037,0.04218,0.1447,564
"MIMIC","eGFR","eGFR_45-59",168,0.16277,0.03721,1e-05,0.08983,0.2357,564
"MIMIC","eGFR","eGFR_30-44",6,-0.0413,0.04428,0.35346,-0.1281,0.04549,46
"MIMIC","eGFR","eGFR_30-44",12,0.03161,0.02513,0.2093,-0.01765,0.08086,174
"MIMIC","eGFR","eGFR_30-44",18,0.02367,0.02501,0.34442,-0.02536,0.0727,245
"MIMIC","eGFR","eGFR_30-44",24,0.0662,0.02609,0.01144,0.01506,0.11733,284
"MIMIC","eGFR","eGFR_30-44",30,0.0823,0.02907,0.00479,0.02532,0.13927,305
"MIMIC","eGFR","eGFR_30-44",36,0.10684,0.03202,9e-04,0.04408,0.1696,307
"MIMIC","eGFR","eGFR_30-44",42,0.1342,0.03614,0.00022,0.06337,0.20503,307
"MIMIC","eGFR","eGFR_30-44",48,0.15961,0.03939,6e-05,0.08241,0.23681,307
"MIMIC","eGFR","eGFR_30-44",168,0.39316,0.06399,0,0.26774,0.51858,307
"MIMIC","eGFR","eGFR<30",6,NA,NA,NA,NA,NA,23
"MIMIC","eGFR","eGFR<30",12,-0.02308,0.05179,0.65652,-0.12458,0.07843,78
"MIMIC","eGFR","eGFR<30",18,-0.01702,0.05166,0.74218,-0.11828,0.08424,94
"MIMIC","eGFR","eGFR<30",24,0.01186,0.05078,0.81547,-0.08766,0.11139,118
"MIMIC","eGFR","eGFR<30",30,0.02326,0.05608,0.67874,-0.08667,0.13318,129
"MIMIC","eGFR","eGFR<30",36,0.03798,0.06107,0.53448,-0.08171,0.15767,129
"MIMIC","eGFR","eGFR<30",42,0.03488,0.07068,0.62204,-0.10364,0.17341,129
"MIMIC","eGFR","eGFR<30",48,0.05969,0.07438,0.42302,-0.0861,0.20548,129
"MIMIC","eGFR","eGFR<30",168,0.17984,0.10524,0.0887,-0.02643,0.38612,129
"MIMIC","Mg","Overall",6,-0.02127,0.00853,0.01278,-0.03799,-0.00454,790
"MIMIC","Mg","Overall",12,-0.00877,0.005,0.07925,-0.01857,0.00102,3055
"MIMIC","Mg","Overall",18,-0.01315,0.00458,0.00409,-0.02212,-0.00417,4411
"MIMIC","Mg","Overall",24,-0.01033,0.00453,0.02261,-0.01921,-0.00145,5547
"MIMIC","Mg","Overall",30,-0.01172,0.00466,0.01187,-0.02085,-0.00259,6253
"MIMIC","Mg","Overall",36,-0.01204,0.00508,0.01778,-0.022,-0.00209,6277
"MIMIC","Mg","Overall",42,-0.01281,0.00546,0.01897,-0.02351,-0.00211,6284
"MIMIC","Mg","Overall",48,-0.00932,0.00588,0.11325,-0.02085,0.00221,6290
"MIMIC","Mg","Overall",168,-0.0047,0.00908,0.60496,-0.0225,0.01311,6299
"MIMIC","Mg","Mg<1.6",6,0.01818,0.03327,0.58586,-0.04703,0.08339,55
