"target_h","tol_h","n_trt","n_ctl","did_adj","se_adj","p_adj","ci_lo","ci_hi"
6,2,152,152,-0.0219,0.0269,0.4165,-0.0746,0.0308
6,4,417,417,-0.0158,0.0162,0.3293,-0.0475,0.0159
6,6,652,652,-0.007,0.0142,0.6231,-0.0347,0.0208
9,2,208,208,-0.0206,0.0254,0.4175,-0.0704,0.0292
9,4,551,551,-0.017,0.0145,0.2427,-0.0455,0.0115
9,6,857,857,-0.0165,0.0124,0.1853,-0.0408,0.0079
12,2,255,255,-0.0057,0.022,0.7938,-0.0488,0.0373
12,4,695,695,-0.0277,0.0138,0.0456,-0.0548,-6e-04
12,6,1101,1101,-0.0276,0.0114,0.0151,-0.0499,-0.0054
15,2,263,263,-0.0101,0.0217,0.6434,-0.0526,0.0325
15,4,756,756,-0.025,0.0141,0.0758,-0.0527,0.0026
15,6,1181,1181,-0.0195,0.0115,0.0899,-0.042,0.003
18,2,259,259,-0.0114,0.0218,0.5998,-0.0541,0.0313
18,4,759,759,-0.03,0.0153,0.0506,-0.0601,1e-04
18,6,1185,1185,-0.024,0.0124,0.0538,-0.0483,4e-04
21,2,247,247,0.0022,0.0242,0.9274,-0.0452,0.0496
21,4,728,728,-0.0259,0.0168,0.1247,-0.0589,0.0071
21,6,1151,1151,-0.0257,0.013,0.048,-0.0512,-2e-04
24,2,233,233,0.0041,0.0289,0.8877,-0.0525,0.0606
24,4,680,680,-0.0226,0.0187,0.2281,-0.0593,0.0141
24,6,1088,1088,-0.0287,0.0141,0.0425,-0.0564,-0.001
27,2,226,226,-0.0157,0.0305,0.6062,-0.0755,0.044
27,4,655,655,-0.0358,0.0201,0.0748,-0.0751,0.0036
27,6,1054,1054,-0.0302,0.0159,0.0577,-0.0614,0.001
30,2,207,207,-0.0179,0.0367,0.6258,-0.0898,0.054
30,4,627,627,-0.0299,0.0214,0.164,-0.0719,0.0122
30,6,1013,1013,-0.0302,0.0168,0.0721,-0.0632,0.0027
33,2,181,181,-0.024,0.0421,0.5687,-0.1065,0.0585
33,4,566,566,-0.042,0.0238,0.0778,-0.0886,0.0046
33,6,939,939,-0.0435,0.0185,0.019,-0.0798,-0.0072
36,2,163,163,-0.0371,0.0469,0.4298,-0.1289,0.0548
36,4,514,514,-0.0458,0.0262,0.0807,-0.0972,0.0056
36,6,850,850,-0.0469,0.0206,0.023,-0.0873,-0.0065
