"target_h","tol_h","n_trt","n_ctl","did_adj","se_adj","p_adj","ci_lo","ci_hi"
6,2,630,630,0.0035,0.0106,0.7433,-0.0172,0.0241
6,4,1686,1686,1e-04,0.0065,0.9861,-0.0126,0.0128
6,6,2595,2595,-0.0012,0.0054,0.8313,-0.0118,0.0095
9,2,654,654,0.0119,0.012,0.3179,-0.0115,0.0354
9,4,1779,1779,0.0032,0.0068,0.6415,-0.0102,0.0165
9,6,2777,2777,2e-04,0.0057,0.9735,-0.011,0.0113
12,2,692,692,0.0133,0.0119,0.2643,-0.0101,0.0367
12,4,1911,1911,-0.0017,0.0069,0.8067,-0.0152,0.0118
12,6,3044,3044,-0.0037,0.0058,0.5228,-0.015,0.0076
15,2,670,670,0.0174,0.0123,0.1597,-0.0068,0.0415
15,4,1926,1926,-0.0019,0.0074,0.8012,-0.0163,0.0126
15,6,3133,3133,-0.0012,0.0062,0.8493,-0.0134,0.011
18,2,630,630,0.0077,0.0153,0.616,-0.0223,0.0377
18,4,1874,1874,-0.0034,0.0083,0.6836,-0.0197,0.0129
18,6,3052,3052,-0.0016,0.007,0.8162,-0.0153,0.012
21,2,613,613,-0.0037,0.0167,0.8223,-0.0364,0.0289
21,4,1831,1831,-0.0111,0.0091,0.221,-0.0288,0.0067
21,6,2977,2977,-0.004,0.0077,0.6092,-0.0191,0.0112
24,2,563,563,-0.0211,0.0191,0.2684,-0.0585,0.0163
24,4,1790,1790,-0.0138,0.0102,0.1752,-0.0337,0.0061
24,6,2927,2927,-0.009,0.0088,0.3029,-0.0262,0.0081
27,2,562,562,-0.0368,0.0182,0.0427,-0.0725,-0.0012
27,4,1811,1811,-0.0193,0.0106,0.0676,-0.04,0.0014
27,6,2984,2984,-0.0177,0.0089,0.0466,-0.0351,-3e-04
30,2,592,592,-0.0426,0.0171,0.0128,-0.0761,-0.0091
30,4,1845,1845,-0.0234,0.0107,0.0294,-0.0444,-0.0023
30,6,3043,3043,-0.0209,0.0089,0.0187,-0.0384,-0.0035
33,2,586,586,-0.0372,0.0175,0.0334,-0.0714,-0.003
33,4,1800,1800,-0.0185,0.011,0.0917,-0.0401,0.003
33,6,2974,2974,-0.0231,0.0091,0.0113,-0.041,-0.0052
36,2,580,580,-0.0344,0.018,0.057,-0.0697,0.001
36,4,1735,1735,-0.0239,0.0113,0.0335,-0.046,-0.0019
36,6,2884,2884,-0.0248,0.0093,0.0075,-0.0429,-0.0066
