"or","or_lo","or_hi","p","rate_trt","rate_ctl","n","events_trt","events_ctl","outcome","stratum","db"
0.8862,0.784,1.0016,0.053156,0.1475,0.1633,3913,577,639,"AKI_Stage1+","Overall","EICU"
0.5783,0.463,0.7224,1e-06,0.0966,0.156,1481,143,231,"AKI_Stage1+","eGFR>=90","EICU"
0.6996,0.5651,0.8662,0.001044,0.1322,0.1788,1309,173,234,"AKI_Stage1+","eGFR_60-89","EICU"
2.0717,1.4534,2.953,5.6e-05,0.2168,0.1179,475,103,56,"AKI_Stage1+","eGFR_45-59","EICU"
1.2692,0.8937,1.8023,0.182836,0.226,0.187,385,87,72,"AKI_Stage1+","eGFR_30-44","EICU"
1.7445,1.1467,2.6537,0.009331,0.27,0.1749,263,71,46,"AKI_Stage1+","eGFR<30","EICU"
1.0424,0.842,1.2906,0.703075,0.0459,0.0441,3924,180,173,"AKI_Stage2+","Overall","EICU"
0.4876,0.3246,0.7324,0.00054,0.0242,0.0485,1485,36,72,"AKI_Stage2+","eGFR>=90","EICU"
1.1024,0.7483,1.6242,0.621878,0.0427,0.0389,1310,56,51,"AKI_Stage2+","eGFR_60-89","EICU"
1.2771,0.6895,2.3656,0.436682,0.0504,0.0399,476,24,19,"AKI_Stage2+","eGFR_45-59","EICU"
1.7228,0.9427,3.1488,0.077051,0.0777,0.0466,386,30,18,"AKI_Stage2+","eGFR_30-44","EICU"
2.8511,1.4668,5.542,0.002004,0.1273,0.0487,267,34,13,"AKI_Stage2+","eGFR<30","EICU"
1.1461,0.9001,1.4593,0.268725,0.0372,0.0326,3924,146,128,"AKI_Stage3+","Overall","EICU"
0.2704,0.1519,0.4814,9e-06,0.0101,0.0364,1485,15,54,"AKI_Stage3+","eGFR>=90","EICU"
0.5776,0.3469,0.9618,0.034883,0.0183,0.0313,1310,24,41,"AKI_Stage3+","eGFR_60-89","EICU"
1.3997,0.6774,2.8923,0.363789,0.0378,0.0273,476,18,13,"AKI_Stage3+","eGFR_45-59","EICU"
3.4033,1.7483,6.6249,0.000314,0.0984,0.0311,386,38,12,"AKI_Stage3+","eGFR_30-44","EICU"
7.6441,3.5452,16.4822,0,0.191,0.03,267,51,8,"AKI_Stage3+","eGFR<30","EICU"
0.8859,0.7748,1.0128,0.076148,0.1188,0.1321,3913,465,517,"AKI_48h_Stage1+","Overall","EICU"
0.4856,0.3752,0.6285,0,0.0648,0.1249,1481,96,185,"AKI_48h_Stage1+","eGFR>=90","EICU"
0.6787,0.5378,0.8565,0.001092,0.1062,0.149,1309,139,195,"AKI_48h_Stage1+","eGFR_60-89","EICU"
1.9769,1.3575,2.8789,0.00038,0.1853,0.1032,475,88,49,"AKI_48h_Stage1+","eGFR_45-59","EICU"
1.5244,1.0436,2.2269,0.029219,0.2026,0.1429,385,78,55,"AKI_48h_Stage1+","eGFR_30-44","EICU"
2.2415,1.4125,3.5571,0.000613,0.2433,0.1255,263,64,33,"AKI_48h_Stage1+","eGFR<30","EICU"
0.8855,0.6142,1.2766,0.514675,0.0141,0.0158,3913,55,62,"AKI_48h_Stage2+","Overall","EICU"
0.4543,0.2217,0.931,0.031144,0.0074,0.0162,1481,11,24,"AKI_48h_Stage2+","eGFR>=90","EICU"
0.9538,0.5218,1.7434,0.877851,0.016,0.0168,1309,21,22,"AKI_48h_Stage2+","eGFR_60-89","EICU"
1.8531,0.679,5.0576,0.228524,0.0232,0.0126,475,11,6,"AKI_48h_Stage2+","eGFR_45-59","EICU"
1.8191,0.6032,5.4865,0.288058,0.0234,0.013,385,9,5,"AKI_48h_Stage2+","eGFR_30-44","EICU"
0.5954,0.1404,2.5242,0.481667,0.0114,0.019,263,3,5,"AKI_48h_Stage2+","eGFR<30","EICU"
1.4787,0.9661,2.2634,0.071707,0.0135,0.0092,3913,53,36,"AKI_48h_Stage3+","Overall","EICU"
0.3102,0.1133,0.8492,0.022716,0.0034,0.0108,1481,5,16,"AKI_48h_Stage3+","eGFR>=90","EICU"
0.3823,0.1358,1.0757,0.068501,0.0038,0.0099,1309,5,13,"AKI_48h_Stage3+","eGFR_60-89","EICU"
1.3362,0.297,6.0122,0.705675,0.0084,0.0063,475,4,3,"AKI_48h_Stage3+","eGFR_45-59","EICU"
8.3035,1.8924,36.4353,0.005026,0.0416,0.0052,385,16,2,"AKI_48h_Stage3+","eGFR_30-44","EICU"
12.5062,2.9093,53.7599,0.000685,0.0875,0.0076,263,23,2,"AKI_48h_Stage3+","eGFR<30","EICU"
0.8276,0.7148,0.9583,0.011398,0.074,0.0881,4835,358,426,"hosp_mortality","Overall","EICU"
0.3083,0.2278,0.4171,0,0.0335,0.1012,1759,59,178,"hosp_mortality","eGFR>=90","EICU"
0.7875,0.5965,1.0396,0.091781,0.0588,0.0735,1632,96,120,"hosp_mortality","eGFR_60-89","EICU"
1.8076,1.2137,2.6921,0.003579,0.1156,0.0674,623,72,42,"hosp_mortality","eGFR_45-59","EICU"
1.3234,0.8922,1.9631,0.163689,0.1342,0.1048,477,64,50,"hosp_mortality","eGFR_30-44","EICU"
1.9785,1.2697,3.0831,0.002571,0.2051,0.1154,312,64,36,"hosp_mortality","eGFR<30","EICU"
1.1141,0.9377,1.3236,0.219158,0.0598,0.054,4835,289,261,"vent_arrhythmia","Overall","EICU"
0.7844,0.5771,1.0661,0.120801,0.0438,0.0551,1759,77,97,"vent_arrhythmia","eGFR>=90","EICU"
1.2053,0.8743,1.6614,0.254295,0.0527,0.0441,1632,86,72,"vent_arrhythmia","eGFR_60-89","EICU"
1.3562,0.833,2.208,0.220462,0.0642,0.0482,623,40,30,"vent_arrhythmia","eGFR_45-59","EICU"
1.4015,0.877,2.2398,0.158176,0.0943,0.0692,477,45,33,"vent_arrhythmia","eGFR_30-44","EICU"
1.5079,0.8975,2.5335,0.12075,0.125,0.0865,312,39,27,"vent_arrhythmia","eGFR<30","EICU"
0.5001,0.4143,0.6036,0,0.0358,0.0691,4835,173,334,"poaf","Overall","EICU"
0.3478,0.2385,0.5072,0,0.0216,0.0597,1759,38,105,"poaf","eGFR>=90","EICU"
0.4902,0.3555,0.676,1.4e-05,0.0362,0.0711,1632,59,116,"poaf","eGFR_60-89","EICU"
0.6111,0.3725,1.0025,0.051156,0.0433,0.069,623,27,43,"poaf","eGFR_45-59","EICU"
0.7806,0.4781,1.2745,0.322048,0.065,0.0818,477,31,39,"poaf","eGFR_30-44","EICU"
0.5624,0.3021,1.047,0.069487,0.0545,0.0929,312,17,29,"poaf","eGFR<30","EICU"
