"or","or_lo","or_hi","p","rate_trt","rate_ctl","n","events_trt","events_ctl","outcome","stratum","db"
0.9645,0.8519,1.0921,0.568725,0.1469,0.1515,3928,577,595,"AKI_Stage1+","Overall","EICU"
0.5698,0.4564,0.7113,1e-06,0.0961,0.1573,1488,143,234,"AKI_Stage1+","eGFR>=90","EICU"
0.8801,0.7051,1.0986,0.259054,0.1311,0.1463,1312,172,192,"AKI_Stage1+","eGFR_60-89","EICU"
1.6849,1.2013,2.3632,0.002508,0.2155,0.1402,478,103,67,"AKI_Stage1+","eGFR_45-59","EICU"
1.7889,1.2304,2.601,0.00232,0.2254,0.1399,386,87,54,"AKI_Stage1+","eGFR_30-44","EICU"
1.6875,1.1149,2.5543,0.013359,0.2727,0.1818,264,72,48,"AKI_Stage1+","eGFR<30","EICU"
1.1535,0.9269,1.4356,0.200732,0.0457,0.0399,3938,180,157,"AKI_Stage2+","Overall","EICU"
0.5901,0.3878,0.8979,0.013778,0.0241,0.0402,1491,36,60,"AKI_Stage2+","eGFR>=90","EICU"
1,0.6847,1.4604,1,0.0427,0.0427,1313,56,56,"AKI_Stage2+","eGFR_60-89","EICU"
1.6316,0.8445,3.1526,0.145131,0.0501,0.0313,479,24,15,"AKI_Stage2+","eGFR_45-59","EICU"
2.2389,1.1669,4.2957,0.015338,0.0775,0.0362,387,30,14,"AKI_Stage2+","eGFR_30-44","EICU"
3.0997,1.5659,6.1359,0.001165,0.1269,0.0448,268,34,12,"AKI_Stage2+","eGFR<30","EICU"
1.4055,1.0894,1.8134,0.008837,0.0371,0.0267,3938,146,105,"AKI_Stage3+","Overall","EICU"
0.3506,0.1935,0.6352,0.000546,0.0101,0.0282,1491,15,42,"AKI_Stage3+","eGFR>=90","EICU"
0.6799,0.402,1.1497,0.150003,0.0183,0.0267,1313,24,35,"AKI_Stage3+","eGFR_60-89","EICU"
