"or","or_lo","or_hi","p","rate_trt","rate_ctl","n","events_trt","events_ctl","outcome","stratum","db"
0.9121,0.8433,0.9865,0.021501,0.2608,0.2789,6347,1655,1770,"AKI_Stage1+","Overall","MIMIC"
0.6579,0.5876,0.7367,0,0.2161,0.2953,3220,696,951,"AKI_Stage1+","eGFR>=90","MIMIC"
1.0444,0.9114,1.1968,0.531846,0.2724,0.2639,2111,575,557,"AKI_Stage1+","eGFR_60-89","MIMIC"
1.6247,1.2582,2.098,0.000198,0.3508,0.2496,573,201,143,"AKI_Stage1+","eGFR_45-59","MIMIC"
2.0728,1.4804,2.9024,2.2e-05,0.4341,0.2701,311,135,84,"AKI_Stage1+","eGFR_30-44","MIMIC"
1.5837,0.9354,2.6812,0.087005,0.3636,0.2652,132,48,35,"AKI_Stage1+","eGFR<30","MIMIC"
0.9301,0.8056,1.0738,0.322757,0.0605,0.0648,6347,384,411,"AKI_Stage2+","Overall","MIMIC"
0.5664,0.4521,0.7096,1e-06,0.0391,0.0671,3220,126,216,"AKI_Stage2+","eGFR>=90","MIMIC"
0.9324,0.73,1.1908,0.574742,0.063,0.0673,2111,133,142,"AKI_Stage2+","eGFR_60-89","MIMIC"
1.9406,1.2407,3.0353,0.003671,0.103,0.0558,573,59,32,"AKI_Stage2+","eGFR_45-59","MIMIC"
3.1191,1.7203,5.6553,0.000179,0.1447,0.0514,311,45,16,"AKI_Stage2+","eGFR_30-44","MIMIC"
4.8054,1.747,13.2183,0.002361,0.1591,0.0379,132,21,5,"AKI_Stage2+","eGFR<30","MIMIC"
1.2477,1.0061,1.5473,0.043832,0.0301,0.0243,6347,191,154,"AKI_Stage3+","Overall","MIMIC"
0.4555,0.3059,0.6781,0.000108,0.0112,0.0242,3220,36,78,"AKI_Stage3+","eGFR>=90","MIMIC"
0.8957,0.615,1.3046,0.565822,0.0251,0.0279,2111,53,59,"AKI_Stage3+","eGFR_60-89","MIMIC"
2.2964,1.1806,4.4668,0.014325,0.0506,0.0227,573,29,13,"AKI_Stage3+","eGFR_45-59","MIMIC"
14.7206,4.4895,48.2672,9e-06,0.1254,0.0096,311,39,3,"AKI_Stage3+","eGFR_30-44","MIMIC"
45.449,6.0689,340.3592,0.000203,0.2576,0.0076,132,34,1,"AKI_Stage3+","eGFR<30","MIMIC"
0.9036,0.8318,0.9815,0.016262,0.2212,0.2392,6347,1404,1518,"AKI_48h_Stage1+","Overall","MIMIC"
0.6136,0.5434,0.6927,0,0.1714,0.2522,3220,552,812,"AKI_48h_Stage1+","eGFR>=90","MIMIC"
1.0519,0.9117,1.2138,0.488209,0.2359,0.2269,2111,498,479,"AKI_48h_Stage1+","eGFR_60-89","MIMIC"
1.7444,1.3375,2.2751,4e-05,0.3229,0.2147,573,185,123,"AKI_48h_Stage1+","eGFR_45-59","MIMIC"
2.1331,1.5068,3.0197,1.9e-05,0.3955,0.2347,311,123,73,"AKI_48h_Stage1+","eGFR_30-44","MIMIC"
1.7427,1.0148,2.9926,0.044074,0.3485,0.2348,132,46,31,"AKI_48h_Stage1+","eGFR<30","MIMIC"
0.776,0.6351,0.9482,0.013128,0.0277,0.0354,6347,176,225,"AKI_48h_Stage2+","Overall","MIMIC"
0.5856,0.4381,0.7827,0.000301,0.0233,0.0391,3220,75,126,"AKI_48h_Stage2+","eGFR>=90","MIMIC"
0.7468,0.5235,1.0655,0.107384,0.0261,0.0346,2111,55,73,"AKI_48h_Stage2+","eGFR_60-89","MIMIC"
1.7885,0.9563,3.3449,0.068726,0.0489,0.0279,573,28,16,"AKI_48h_Stage2+","eGFR_45-59","MIMIC"
2.3962,0.9073,6.3286,0.077801,0.045,0.0193,311,14,6,"AKI_48h_Stage2+","eGFR_30-44","MIMIC"
1,0.2435,4.1074,1,0.0303,0.0303,132,4,4,"AKI_48h_Stage2+","eGFR<30","MIMIC"
1.6002,1.0593,2.4173,0.025512,0.0093,0.0058,6347,59,37,"AKI_48h_Stage3+","Overall","MIMIC"
0.6803,0.3523,1.314,0.251402,0.0047,0.0068,3220,15,22,"AKI_48h_Stage3+","eGFR>=90","MIMIC"
1.5029,0.6129,3.6849,0.373328,0.0057,0.0038,2111,12,8,"AKI_48h_Stage3+","eGFR_60-89","MIMIC"
