Database,Variable,Raw SMD,Matched SMD
MIMIC-IV,Age,0.048,0.001
MIMIC-IV,Female sex,0.099,0.057
MIMIC-IV,BMI,0.088,0.033
MIMIC-IV,CABG,0.137,0.019
MIMIC-IV,Valve,0.187,0.059
MIMIC-IV,Combined,0.141,0.035
MIMIC-IV,Heart failure,0.047,0.079
MIMIC-IV,Hypertension,0.059,0.023
MIMIC-IV,Diabetes,0.067,0.001
MIMIC-IV,CKD,0.153,0.003
MIMIC-IV,COPD,0.055,0.000
MIMIC-IV,PVD,0.054,0.005
MIMIC-IV,Stroke/TIA,0.051,0.052
MIMIC-IV,Liver disease,0.019,0.053
MIMIC-IV,eGFR,0.158,0.046
MIMIC-IV,Magnesium,—,0.604
MIMIC-IV,Potassium,—,0.037
MIMIC-IV,Calcium,—,0.047
MIMIC-IV,Lactate,—,0.113
MIMIC-IV,Lactate missing,—,—
MIMIC-IV,Heart rate,—,0.083
eICU-CRD,Age,0.056,0.030
eICU-CRD,Female sex,0.054,0.009
eICU-CRD,BMI,0.065,0.020
eICU-CRD,CABG,0.019,0.034
eICU-CRD,Valve,0.029,0.064
eICU-CRD,Combined,0.021,0.051
eICU-CRD,Heart failure,0.003,0.032
eICU-CRD,Hypertension,0.043,0.069
eICU-CRD,Diabetes,0.055,0.064
eICU-CRD,CKD,0.008,0.006
eICU-CRD,COPD,0.059,0.011
eICU-CRD,PVD,0.007,0.036
eICU-CRD,Stroke/TIA,0.003,0.008
eICU-CRD,Liver disease,0.016,0.000
eICU-CRD,eGFR,0.021,0.011
eICU-CRD,Magnesium,—,0.747
eICU-CRD,Potassium,—,0.236
eICU-CRD,Calcium,—,0.075
eICU-CRD,Lactate,—,0.060
eICU-CRD,Lactate missing,—,—
eICU-CRD,Heart rate,—,0.078
