Database,Subgroup,Outcome,n_trt,n_ctl,Estimate,P,Rate_trt,Rate_ctl,RD
MIMIC-IV,Overall,ΔCr 48h,5735,5664,-0.0031,0.6476,,,
MIMIC-IV,Overall,48h AKI,6354,6354,0.88,0.0015*,22.1%,24.4%,-2.4%
MIMIC-IV,Overall,7d AKI,6354,6354,0.87,0.0005*,26.0%,28.8%,-2.8%
MIMIC-IV,Overall,Mortality,6354,6354,0.75,0.0017*,3.4%,4.5%,-1.1%
MIMIC-IV,Overall,POAF,6354,6354,1.05,0.2085,27.6%,26.6%,+1.0%
MIMIC-IV,Overall,Vent arrhythmia,6354,6354,1.08,0.2927,6.6%,6.2%,+0.5%
MIMIC-IV,Age < 65,ΔCr 48h,2218,2215,-0.0187,0.0745,,,
MIMIC-IV,Age < 65,48h AKI,2463,2510,0.80,0.0038*,14.7%,17.8%,-3.0%
MIMIC-IV,Age < 65,7d AKI,2463,2510,0.84,0.0165*,18.6%,21.3%,-2.7%
MIMIC-IV,Age < 65,Mortality,2463,2510,0.68,0.0235*,2.5%,3.6%,-1.1%
MIMIC-IV,Age < 65,POAF,2463,2510,1.32,0.0002*,20.3%,16.3%,+4.1%
MIMIC-IV,Age < 65,Vent arrhythmia,2463,2510,0.99,0.8924,7.4%,7.5%,-0.1%
MIMIC-IV,Age >= 65,ΔCr 48h,3517,3449,+0.0062,0.4887,,,
MIMIC-IV,Age >= 65,48h AKI,3891,3844,0.90,0.0396*,26.7%,28.8%,-2.1%
MIMIC-IV,Age >= 65,7d AKI,3891,3844,0.87,0.0055*,30.7%,33.7%,-3.0%
MIMIC-IV,Age >= 65,Mortality,3891,3844,0.78,0.0215*,4.0%,5.1%,-1.1%
MIMIC-IV,Age >= 65,POAF,3891,3844,0.95,0.2716,32.1%,33.3%,-1.2%
MIMIC-IV,Age >= 65,Vent arrhythmia,3891,3844,1.17,0.1133,6.1%,5.3%,+0.8%
MIMIC-IV,eGFR < 60,ΔCr 48h,935,1070,+0.0251,0.3820,,,
MIMIC-IV,eGFR < 60,48h AKI,1016,1204,0.91,0.3121,34.6%,36.7%,-2.1%
MIMIC-IV,eGFR < 60,7d AKI,1016,1204,0.87,0.1264,37.6%,40.8%,-3.2%
MIMIC-IV,eGFR < 60,Mortality,1016,1204,0.67,0.0014*,11.2%,15.9%,-4.7%
MIMIC-IV,eGFR < 60,POAF,1016,1204,0.98,0.8007,27.8%,28.2%,-0.5%
MIMIC-IV,eGFR < 60,Vent arrhythmia,1016,1204,0.91,0.4631,11.1%,12.1%,-1.0%
MIMIC-IV,eGFR >= 60,ΔCr 48h,4800,4594,-0.0075,0.1938,,,
MIMIC-IV,eGFR >= 60,48h AKI,5338,5150,0.89,0.0161*,19.7%,21.6%,-1.9%
MIMIC-IV,eGFR >= 60,7d AKI,5338,5150,0.89,0.0102*,23.8%,26.0%,-2.2%
