"etable","db","subgroup","analysis","n","n_trt","or","lo","hi","p","max_smd"
"4","eICU","CABG","all_ow",2157,259,0.711,0.48,1.054,0.0893,0.204
"4","eICU","CABG","ac_ow",650,181,0.512,0.317,0.827,0.0062,0.1445
"4","MIMIC","CABG","all_ow",890,127,0.928,0.592,1.456,0.7458,0.1375
"4","MIMIC","CABG","ac_ow",194,51,1.031,0.476,2.235,0.9377,0.1774
"4","eICU","Valve","all_ow",1319,151,0.509,0.285,0.91,0.0227,0.1095
"4","eICU","Valve","ac_ow",389,98,0.54,0.277,1.049,0.069,0.1651
"4","MIMIC","Valve","all_ow",577,114,0.711,0.449,1.126,0.146,0.3236
"4","MIMIC","Valve","ac_ow",175,55,0.72,0.359,1.446,0.3563,0.3476
"4","eICU","Combined","all_ow",441,43,0.973,0.526,1.8,0.9303,0.2822
"4","eICU","Combined","ac_ow",150,33,1.458,0.614,3.463,0.3933,0.4156
"4","MIMIC","Combined","all_ow",144,19,1.23,0.449,3.367,0.6872,0.47
"4","eICU","Other cardiac","all_ow",4176,671,1.037,0.771,1.394,0.8121,0.0777
"4","eICU","Other cardiac","ac_ow",795,244,0.958,0.661,1.39,0.8231,0.139
"4","MIMIC","Other cardiac","all_ow",2135,387,1.055,0.822,1.354,0.675,0.2732
"4","MIMIC","Other cardiac","ac_ow",444,166,0.938,0.617,1.425,0.7634,0.3086
"5","eICU","MDS 0-1","all_ow",4974,726,0.795,0.602,1.05,0.1055,0.0638
"5","eICU","MDS 0-1","ac_ow",1244,365,0.63,0.438,0.906,0.0127,0.1012
"5","MIMIC","MDS 0-1","all_ow",1926,365,0.812,0.615,1.074,0.1444,0.1363
"5","MIMIC","MDS 0-1","ac_ow",486,160,0.752,0.488,1.159,0.1964,0.1781
"5","eICU","MDS >=2","all_ow",3135,402,0.948,0.687,1.31,0.7478,0.0737
"5","eICU","MDS >=2","ac_ow",742,192,0.895,0.619,1.295,0.5557,0.1093
"5","MIMIC","MDS >=2","all_ow",1820,282,1.127,0.859,1.48,0.3886,0.2008
"5","MIMIC","MDS >=2","ac_ow",358,120,1.321,0.827,2.112,0.2443,0.2874
"5b","eICU","Age <60","all_ow",2500,341,0.847,0.652,1.098,0.21,0.0907
"5b","eICU","Age <60","ac_ow",608,159,0.948,0.585,1.536,0.8273,0.144
"5b","MIMIC","Age <60","all_ow",992,150,0.846,0.559,1.279,0.4275,0.1361
"5b","MIMIC","Age <60","ac_ow",193,52,1.043,0.502,2.166,0.9104,0.2835
"5b","eICU","Age >=60","all_ow",5609,787,0.861,0.647,1.145,0.3036,0.0453
"5b","eICU","Age >=60","ac_ow",1378,398,0.684,0.508,0.922,0.0126,0.0655
"5b","MIMIC","Age >=60","all_ow",2754,497,0.995,0.8,1.238,0.9663,0.0591
"5b","MIMIC","Age >=60","ac_ow",651,228,0.954,0.672,1.355,0.7936,0.0489
"5c","eICU","Mg <2.0 (hypo)","all_ow",3156,777,0.928,0.682,1.263,0.6344,0.2186
"5c","eICU","Mg <2.0 (hypo)","ac_ow",727,298,0.932,0.641,1.356,0.714,0.1625
"5c","MIMIC","Mg <2.0 (hypo)","all_ow",1780,509,0.979,0.774,1.238,0.8604,0.1948
"5c","MIMIC","Mg <2.0 (hypo)","ac_ow",388,187,1.175,0.758,1.822,0.4712,0.212
"5c","eICU","Mg >=2.0","all_ow",4953,351,0.811,0.606,1.086,0.1604,0.2652
"5c","eICU","Mg >=2.0","ac_ow",1259,259,0.626,0.436,0.9,0.0113,0.2641
