"outcome","stratum","n","or_primary","lo_primary","hi_primary","p_primary","or_glmm","lo_glmm","hi_glmm","p_glmm","n_hosp","var_hosp","note"
"AKI_48h_Stage1+","Overall",3913,0.8859,0.7748,1.0128,0.076148,0.8632,0.7348,1.0142,0.073677,74,0.17103,""
"AKI_48h_Stage1+","eGFR>=90",1481,0.4856,0.3752,0.6285,0,0.4677,0.35,0.6251,0,68,0.179734,""
"AKI_48h_Stage1+","eGFR_60-89",1309,0.6787,0.5378,0.8565,0.001092,0.6199,0.4756,0.8081,0.000407,70,0.183194,""
"AKI_48h_Stage1+","eGFR_45-59",475,1.9769,1.3575,2.8789,0.00038,1.9976,1.3466,2.9634,0.000584,63,0.088806,""
"AKI_48h_Stage1+","eGFR_30-44",385,1.5244,1.0436,2.2269,0.029219,1.5285,0.9992,2.3383,0.050451,61,0.260273,""
"AKI_48h_Stage1+","eGFR<30",263,2.2415,1.4125,3.5571,0.000613,2.3179,1.4039,3.827,0.001016,54,0.187699,""
"AKI_7d_Stage1+","Overall",3913,0.8862,0.784,1.0016,0.053156,0.8585,0.7407,0.995,0.042669,74,0.140419,""
"AKI_7d_Stage1+","eGFR>=90",1481,0.5783,0.463,0.7224,1e-06,0.5442,0.4206,0.7041,4e-06,68,0.199942,""
"AKI_7d_Stage1+","eGFR_60-89",1309,0.6996,0.5651,0.8662,0.001044,0.6513,0.5114,0.8296,0.000512,70,0.131578,""
"AKI_7d_Stage1+","eGFR_45-59",475,2.0717,1.4534,2.953,5.6e-05,2.0772,1.4441,2.9878,8.1e-05,63,0.039235,""
"AKI_7d_Stage1+","eGFR_30-44",385,1.2692,0.8937,1.8023,0.182836,1.3057,0.8743,1.9501,0.192434,61,0.269275,""
"AKI_7d_Stage1+","eGFR<30",263,1.7445,1.1467,2.6537,0.009331,1.7512,1.1073,2.7695,0.01658,54,0.17774,""
"hosp_mortality","Overall",4835,0.8276,0.7148,0.9583,0.011398,0.7616,0.6356,0.9127,0.003177,75,0.613797,""
"hosp_mortality","eGFR>=90",1759,0.3083,0.2278,0.4171,0,0.2742,0.1955,0.3846,0,71,0.332388,""
"hosp_mortality","eGFR_60-89",1632,0.7875,0.5965,1.0396,0.091781,0.8042,0.5883,1.0992,0.171629,70,0.230505,""
"hosp_mortality","eGFR_45-59",623,1.8076,1.2137,2.6921,0.003579,1.8061,1.162,2.807,0.008602,63,0.271005,""
"hosp_mortality","eGFR_30-44",477,1.3234,0.8922,1.9631,0.163689,1.4215,0.904,2.2351,0.12777,65,0.341703,""
"hosp_mortality","eGFR<30",312,1.9785,1.2697,3.0831,0.002571,1.9493,1.1944,3.1815,0.007569,59,0.199573,""
