"db","mg_strat","target_h","did","se","p","ci_lo","ci_hi","n"
"EICU","Overall",6,-0.00605,0.02287,0.7915,-0.05086,0.03877,205
"EICU","Overall",12,0.00874,0.0132,0.50808,-0.01713,0.03461,753
"EICU","Overall",18,0.02945,0.01593,0.06468,-0.00178,0.06068,1504
"EICU","Overall",24,0.00733,0.01095,0.5028,-0.01412,0.02879,2799
"EICU","Overall",30,0.00887,0.0114,0.43667,-0.01348,0.03121,3155
"EICU","Overall",36,0.00645,0.01164,0.57959,-0.01637,0.02927,3209
"EICU","Overall",42,0.00134,0.01178,0.90965,-0.02174,0.02442,3270
"EICU","Overall",48,0.00855,0.01227,0.4857,-0.01549,0.0326,3341
"EICU","Overall",168,-0.00046,0.01513,0.97574,-0.03012,0.0292,3434
"EICU","Mg<1.6",6,0.01742,0.05578,0.7559,-0.09191,0.12675,31
"EICU","Mg<1.6",12,-0.02387,0.02979,0.42388,-0.08226,0.03453,119
"EICU","Mg<1.6",18,0.00691,0.06104,0.90989,-0.11273,0.12656,217
"EICU","Mg<1.6",24,-0.04753,0.04393,0.27957,-0.13363,0.03857,441
"EICU","Mg<1.6",30,-0.05107,0.04059,0.2087,-0.13063,0.0285,497
"EICU","Mg<1.6",36,-0.06089,0.04119,0.13969,-0.14163,0.01985,506
"EICU","Mg<1.6",42,-0.06124,0.04114,0.13692,-0.14188,0.0194,516
"EICU","Mg<1.6",48,-0.06004,0.04079,0.14138,-0.13999,0.01992,530
"EICU","Mg<1.6",168,-0.04366,0.04896,0.37268,-0.13962,0.05229,549
"EICU","Mg_1.6-1.8",6,-0.00053,0.0596,0.99298,-0.11734,0.11628,38
"EICU","Mg_1.6-1.8",12,-0.03234,0.03252,0.32093,-0.09607,0.03139,124
"EICU","Mg_1.6-1.8",18,-0.03284,0.02413,0.17422,-0.08013,0.01446,229
"EICU","Mg_1.6-1.8",24,-0.04435,0.01635,0.0068,-0.0764,-0.0123,478
"EICU","Mg_1.6-1.8",30,-0.01244,0.02962,0.67468,-0.0705,0.04563,558
"EICU","Mg_1.6-1.8",36,-0.01115,0.02933,0.70388,-0.06864,0.04634,573
"EICU","Mg_1.6-1.8",42,-0.02331,0.02964,0.43183,-0.08141,0.03479,586
"EICU","Mg_1.6-1.8",48,-0.0195,0.02946,0.50817,-0.07723,0.03824,597
"EICU","Mg_1.6-1.8",168,-0.03713,0.03315,0.26284,-0.1021,0.02784,614
"EICU","Mg_1.8-2.0",6,0.04619,0.05172,0.37443,-0.05518,0.14756,42
"EICU","Mg_1.8-2.0",12,0.05176,0.03414,0.13064,-0.01517,0.11868,148
"EICU","Mg_1.8-2.0",18,0.05528,0.02243,0.01399,0.01132,0.09925,299
"EICU","Mg_1.8-2.0",24,0.03193,0.01537,0.038,0.0018,0.06206,612
"EICU","Mg_1.8-2.0",30,0.03127,0.01565,0.04592,0.00059,0.06196,706
"EICU","Mg_1.8-2.0",36,0.02714,0.01657,0.10156,-0.00533,0.05962,718
"EICU","Mg_1.8-2.0",42,0.02529,0.01711,0.13961,-0.00825,0.05882,730
"EICU","Mg_1.8-2.0",48,0.04729,0.02337,0.04319,0.00149,0.0931,746
"EICU","Mg_1.8-2.0",168,0.03437,0.02934,0.24155,-0.02313,0.09187,764
"EICU","Mg_2.0-2.3",6,NA,NA,NA,NA,NA,29
"EICU","Mg_2.0-2.3",12,0.04986,0.02866,0.08304,-0.00632,0.10604,143
"EICU","Mg_2.0-2.3",18,0.07452,0.04102,0.06975,-0.00587,0.15492,294
"EICU","Mg_2.0-2.3",24,0.04903,0.02531,0.053,-0.00058,0.09865,549
"EICU","Mg_2.0-2.3",30,0.02946,0.02494,0.23773,-0.01942,0.07834,612
"EICU","Mg_2.0-2.3",36,0.03135,0.02559,0.22077,-0.01881,0.08151,622
"EICU","Mg_2.0-2.3",42,0.0272,0.02632,0.30157,-0.02439,0.07879,629
"EICU","Mg_2.0-2.3",48,0.03238,0.0261,0.215,-0.01878,0.08355,646
"EICU","Mg_2.0-2.3",168,0.02856,0.03288,0.38513,-0.03588,0.093,661
"EICU","Mg>=2.3",6,-0.07026,0.05097,0.17212,-0.17016,0.02964,39
"EICU","Mg>=2.3",12,-0.00432,0.02712,0.87367,-0.05748,0.04885,139
"EICU","Mg>=2.3",18,0.03525,0.03886,0.36476,-0.04092,0.11142,322
"EICU","Mg>=2.3",24,0.02482,0.02675,0.35369,-0.02761,0.07726,514
"EICU","Mg>=2.3",30,0.02565,0.0254,0.31281,-0.02413,0.07543,563
"EICU","Mg>=2.3",36,0.02692,0.02633,0.30678,-0.02468,0.07852,568
"EICU","Mg>=2.3",42,0.01988,0.0265,0.45331,-0.03206,0.07182,581
"EICU","Mg>=2.3",48,0.02104,0.0267,0.43091,-0.03129,0.07336,589
"EICU","Mg>=2.3",168,-0.01877,0.03389,0.5798,-0.0852,0.04766,602
