"db","mg_strat","target_h","did","se","p","ci_lo","ci_hi","n"
"MIMIC","Overall",6,-0.02127,0.00853,0.01278,-0.03799,-0.00454,790
"MIMIC","Overall",12,-0.00877,0.005,0.07925,-0.01857,0.00102,3055
"MIMIC","Overall",18,-0.01315,0.00458,0.00409,-0.02212,-0.00417,4411
"MIMIC","Overall",24,-0.01033,0.00453,0.02261,-0.01921,-0.00145,5547
"MIMIC","Overall",30,-0.01172,0.00466,0.01187,-0.02085,-0.00259,6253
"MIMIC","Overall",36,-0.01204,0.00508,0.01778,-0.022,-0.00209,6277
"MIMIC","Overall",42,-0.01281,0.00546,0.01897,-0.02351,-0.00211,6284
"MIMIC","Overall",48,-0.00932,0.00588,0.11325,-0.02085,0.00221,6290
"MIMIC","Overall",168,-0.0047,0.00908,0.60496,-0.0225,0.01311,6299
"MIMIC","Mg<1.6",6,0.01818,0.03327,0.58586,-0.04703,0.08339,55
"MIMIC","Mg<1.6",12,0.01288,0.01939,0.50707,-0.02514,0.05089,233
"MIMIC","Mg<1.6",18,0.02582,0.02039,0.20595,-0.01415,0.06578,306
"MIMIC","Mg<1.6",24,0.02693,0.02094,0.1987,-0.0141,0.06797,375
"MIMIC","Mg<1.6",30,0.0182,0.02205,0.40934,-0.02502,0.06143,412
"MIMIC","Mg<1.6",36,0.01114,0.02533,0.66029,-0.03851,0.06079,413
"MIMIC","Mg<1.6",42,-0.00412,0.0274,0.88064,-0.05783,0.04959,413
"MIMIC","Mg<1.6",48,0.00942,0.03212,0.76939,-0.05354,0.07238,414
"MIMIC","Mg<1.6",168,0.02,0.05187,0.69993,-0.08167,0.12167,415
"MIMIC","Mg_1.6-1.8",6,-0.03913,0.02937,0.18499,-0.0967,0.01844,69
"MIMIC","Mg_1.6-1.8",12,0.01013,0.02742,0.71189,-0.04361,0.06387,227
"MIMIC","Mg_1.6-1.8",18,-0.00165,0.02385,0.94487,-0.0484,0.0451,303
"MIMIC","Mg_1.6-1.8",24,0.00093,0.02052,0.96369,-0.03929,0.04116,428
"MIMIC","Mg_1.6-1.8",30,-0.02769,0.01924,0.15046,-0.0654,0.01002,502
"MIMIC","Mg_1.6-1.8",36,-0.04078,0.02115,0.05414,-0.08225,0.00068,510
"MIMIC","Mg_1.6-1.8",42,-0.05549,0.02263,0.01439,-0.09985,-0.01113,510
"MIMIC","Mg_1.6-1.8",48,-0.04755,0.0242,0.04966,-0.09498,-0.00013,511
"MIMIC","Mg_1.6-1.8",168,-0.05527,0.0331,0.09522,-0.12014,0.0096,512
"MIMIC","Mg_1.8-2.0",6,0.00843,0.03182,0.79132,-0.05394,0.0708,83
"MIMIC","Mg_1.8-2.0",12,-0.01837,0.01408,0.19218,-0.04596,0.00921,381
"MIMIC","Mg_1.8-2.0",18,-0.02869,0.01266,0.02363,-0.05351,-0.00387,582
"MIMIC","Mg_1.8-2.0",24,-0.02456,0.01162,0.03478,-0.04734,-0.00177,843
"MIMIC","Mg_1.8-2.0",30,-0.02809,0.01098,0.01061,-0.04961,-0.00656,1061
"MIMIC","Mg_1.8-2.0",36,-0.03286,0.01178,0.00531,-0.05595,-0.00978,1062
"MIMIC","Mg_1.8-2.0",42,-0.03543,0.01244,0.00444,-0.05981,-0.01105,1064
"MIMIC","Mg_1.8-2.0",48,-0.03218,0.01337,0.01622,-0.05839,-0.00596,1066
"MIMIC","Mg_1.8-2.0",168,-0.01726,0.02119,0.4155,-0.05879,0.02428,1072
"MIMIC","Mg_2.0-2.3",6,-0.04417,0.02207,0.04651,-0.08742,-0.00091,120
"MIMIC","Mg_2.0-2.3",12,-0.03142,0.01453,0.03093,-0.05991,-0.00293,401
"MIMIC","Mg_2.0-2.3",18,-0.02986,0.01198,0.0128,-0.05334,-0.00638,643
"MIMIC","Mg_2.0-2.3",24,-0.02249,0.01035,0.02992,-0.04278,-0.0022,956
"MIMIC","Mg_2.0-2.3",30,-0.02502,0.00963,0.0094,-0.04389,-0.00615,1151
"MIMIC","Mg_2.0-2.3",36,-0.02584,0.01021,0.01144,-0.04585,-0.00583,1161
"MIMIC","Mg_2.0-2.3",42,-0.02515,0.01114,0.0241,-0.04699,-0.00331,1161
"MIMIC","Mg_2.0-2.3",48,-0.021,0.01168,0.0723,-0.04389,0.00189,1162
"MIMIC","Mg_2.0-2.3",168,-0.01608,0.0195,0.40977,-0.0543,0.02215,1163
"MIMIC","Mg>=2.3",6,-0.02848,0.01976,0.15046,-0.06722,0.01025,165
"MIMIC","Mg>=2.3",12,-0.00269,0.0115,0.81519,-0.02522,0.01985,558
"MIMIC","Mg>=2.3",18,-0.01345,0.01027,0.19051,-0.03357,0.00668,885
"MIMIC","Mg>=2.3",24,-0.00484,0.00979,0.62118,-0.02403,0.01435,1157
"MIMIC","Mg>=2.3",30,-0.00039,0.01007,0.96943,-0.02013,0.01936,1295
"MIMIC","Mg>=2.3",36,-0.00085,0.01075,0.93721,-0.02191,0.02022,1299
"MIMIC","Mg>=2.3",42,-0.00323,0.01133,0.77568,-0.02543,0.01897,1301
"MIMIC","Mg>=2.3",48,8e-05,0.01217,0.99496,-0.02378,0.02393,1301
"MIMIC","Mg>=2.3",168,0.01829,0.01928,0.3427,-0.01949,0.05608,1301
