"or","or_lo","or_hi","p","rate_trt","rate_ctl","n","outcome","mg_strat","egfr_strat","db"
0.8862,0.784,1.0016,0.053156,0.1475,0.1633,3913,"aki_7d","Overall","All","EICU"
0.6666,0.4912,0.9048,0.009275,0.1283,0.1808,647,"aki_7d","Mg<1.6","All","EICU"
0.7962,0.5916,1.0714,0.132408,0.1317,0.1601,706,"aki_7d","Mg_1.6-1.8","All","EICU"
0.9616,0.7308,1.2653,0.779677,0.1324,0.137,876,"aki_7d","Mg_1.8-2.0","All","EICU"
0.9809,0.7469,1.2882,0.889554,0.1701,0.1728,729,"aki_7d","Mg_2.0-2.3","All","EICU"
0.9597,0.7243,1.2716,0.774354,0.1664,0.1722,691,"aki_7d","Mg>=2.3","All","EICU"
0.8276,0.7148,0.9583,0.011398,0.074,0.0881,4835,"mortality","Overall","All","EICU"
0.9168,0.6359,1.3217,0.641612,0.0894,0.0968,682,"mortality","Mg<1.6","All","EICU"
0.6965,0.4734,1.0246,0.066238,0.0658,0.0918,730,"mortality","Mg_1.6-1.8","All","EICU"
0.8477,0.6031,1.1916,0.341565,0.074,0.0862,905,"mortality","Mg_1.8-2.0","All","EICU"
0.9175,0.6374,1.3206,0.643009,0.082,0.0887,744,"mortality","Mg_2.0-2.3","All","EICU"
0.6003,0.413,0.8726,0.00749,0.0698,0.1111,702,"mortality","Mg>=2.3","All","EICU"
0.5531,0.3904,0.7837,0.000865,0.1003,0.1678,578,"aki_7d","Mg<1.8","eGFR>=90","EICU"
0.4655,0.3085,0.7023,0.000269,0.101,0.1944,396,"aki_7d","Mg<1.8","eGFR_60-89","EICU"
2.0209,1.0909,3.7438,0.025323,0.2267,0.1267,150,"aki_7d","Mg<1.8","eGFR_45-59","EICU"
1.2342,0.7617,1.9998,0.392825,0.1921,0.1616,229,"aki_7d","Mg<1.8","eGFR<45","EICU"
0.5872,0.435,0.7925,0.000502,0.0965,0.1538,819,"aki_7d","Mg>=1.8","eGFR>=90","EICU"
0.8003,0.6122,1.0461,0.103104,0.1416,0.1709,819,"aki_7d","Mg>=1.8","eGFR_60-89","EICU"
1.9107,1.1993,3.0442,0.006438,0.2014,0.1166,283,"aki_7d","Mg>=1.8","eGFR_45-59","EICU"
1.7729,1.2495,2.5154,0.001336,0.2747,0.176,375,"aki_7d","Mg>=1.8","eGFR<45","EICU"
0.423,0.2623,0.6821,0.000417,0.0438,0.0978,593,"mortality","Mg<1.8","eGFR>=90","EICU"
0.8698,0.5176,1.4615,0.598205,0.0694,0.0789,418,"mortality","Mg<1.8","eGFR_60-89","EICU"
1.8274,0.8371,3.9891,0.130113,0.121,0.0701,157,"mortality","Mg<1.8","eGFR_45-59","EICU"
1.1127,0.6586,1.8801,0.689726,0.1417,0.1292,240,"mortality","Mg<1.8","eGFR<45","EICU"
0.2557,0.1623,0.4027,0,0.0297,0.107,841,"mortality","Mg>=1.8","eGFR>=90","EICU"
0.6794,0.4602,1.0029,0.051745,0.0549,0.0788,838,"mortality","Mg>=1.8","eGFR_60-89","EICU"
1.7262,0.9877,3.017,0.055313,0.1237,0.0756,291,"mortality","Mg>=1.8","eGFR_45-59","EICU"
