"or","or_lo","or_hi","p","rate_trt","rate_ctl","n","outcome","mg_strat","egfr_strat","db"
0.9057,0.8374,0.9795,0.013225,0.2604,0.2799,6349,"aki_7d","Overall","All","MIMIC"
1.0313,0.7785,1.3662,0.830003,0.3649,0.3578,422,"aki_7d","Mg<1.6","All","MIMIC"
0.6468,0.4866,0.8597,0.002691,0.2073,0.2879,521,"aki_7d","Mg_1.6-1.8","All","MIMIC"
0.7284,0.597,0.8888,0.001804,0.21,0.2673,1081,"aki_7d","Mg_1.8-2.0","All","MIMIC"
0.8136,0.6681,0.9908,0.04017,0.2002,0.2352,1169,"aki_7d","Mg_2.0-2.3","All","MIMIC"
1.1006,0.9083,1.3337,0.327905,0.2049,0.1897,1318,"aki_7d","Mg>=2.3","All","MIMIC"
0.8812,0.7313,1.0619,0.183881,0.034,0.0384,6354,"mortality","Overall","All","MIMIC"
0.8058,0.4752,1.3664,0.422891,0.0638,0.078,423,"mortality","Mg<1.6","All","MIMIC"
1.1914,0.6659,2.1316,0.555255,0.0499,0.0422,521,"mortality","Mg_1.6-1.8","All","MIMIC"
1.1154,0.7051,1.7644,0.640721,0.037,0.0333,1081,"mortality","Mg_1.8-2.0","All","MIMIC"
1.3464,0.8508,2.1307,0.204104,0.0376,0.0282,1169,"mortality","Mg_2.0-2.3","All","MIMIC"
0.9194,0.6417,1.3173,0.64701,0.0455,0.0493,1318,"mortality","Mg>=2.3","All","MIMIC"
0.6252,0.4581,0.8532,0.003067,0.2201,0.311,418,"aki_7d","Mg<1.8","eGFR>=90","MIMIC"
0.9545,0.6755,1.3489,0.791951,0.275,0.2844,320,"aki_7d","Mg<1.8","eGFR_60-89","MIMIC"
0.8904,0.5147,1.5402,0.677911,0.3636,0.3909,110,"aki_7d","Mg<1.8","eGFR_45-59","MIMIC"
1.2422,0.6948,2.2209,0.464342,0.4421,0.3895,95,"aki_7d","Mg<1.8","eGFR<45","MIMIC"
0.6064,0.5109,0.7197,0,0.1553,0.2327,1732,"aki_7d","Mg>=1.8","eGFR>=90","MIMIC"
