"db","covariate","smd_unweighted","smd_weighted"
"eICU","age",0.06143,0
"eICU","is_female",0.07269,0
"eICU","bmi",0.02998,0
"eICU","surg_cabg",0.00692,0
"eICU","surg_valve",0.07063,0
"eICU","surg_combined",0.0884,0
"eICU","heart_failure",0.07773,0
"eICU","hypertension",0.0272,0
"eICU","diabetes",0.07093,0
"eICU","ckd",0.09169,0
"eICU","copd",0.00664,0
"eICU","pvd",0.05895,0
"eICU","stroke",0.07476,0
"eICU","liver_disease",0.00601,0
"eICU","baseline_creatinine",0.04022,0
"eICU","egfr",0.00915,0
"eICU","loop_diuretics",0.18048,0
"eICU","nsaids",0.00886,0
"eICU","acei_arb",0.00176,0
"eICU","ppi",0.10782,0
"eICU","beta_blockers",0.02434,0
"eICU","steroids",0.12002,0
"eICU","antiarrhythmics",0.00624,0
"eICU","first_potassium",0.1534,0
"eICU","first_calcium",0.25944,0
"eICU","first_heartrate",0.02712,0
"eICU","vasopressor_6h",0.03288,0
"eICU","first_mg_value",0.40236,0
"eICU","first_lactate",0.00997,0
"eICU","lactate_missing",0.02894,0
"MIMIC","age",0.22738,0
"MIMIC","is_female",0.13883,0
"MIMIC","bmi",0.20829,0
"MIMIC","surg_cabg",0.17341,0
"MIMIC","surg_valve",0.04045,0
"MIMIC","surg_combined",0.06668,0
"MIMIC","heart_failure",0.01712,0
"MIMIC","hypertension",0.15481,0
"MIMIC","diabetes",0.08045,0
"MIMIC","ckd",0.03421,0
"MIMIC","copd",0.11859,0
"MIMIC","pvd",0.11012,0
"MIMIC","stroke",0.07132,0
"MIMIC","liver_disease",0.01734,0
"MIMIC","baseline_creatinine",0.14546,0
"MIMIC","egfr",0.00974,0
"MIMIC","loop_diuretics",0.04158,0
"MIMIC","nsaids",0.08586,0
"MIMIC","acei_arb",0.02994,0
"MIMIC","ppi",0.04393,0
"MIMIC","beta_blockers",0.28915,0
"MIMIC","steroids",0.10793,0
"MIMIC","antiarrhythmics",0.07182,0
"MIMIC","first_potassium",0.27782,0
"MIMIC","first_calcium",0.13374,0
"MIMIC","first_heartrate",0.13332,0
"MIMIC","vasopressor_6h",0.00285,0
"MIMIC","first_mg_value",0.36765,0
"MIMIC","first_lactate",0.05957,0
"MIMIC","lactate_missing",0.19201,0
