Variable,MIMIC IV Mg,MIMIC Control,MIMIC SMD,eICU IV Mg,eICU Control,eICU SMD
**Demographics**,,,,,,
"  Age, mean (SD), y",67.0 (12.5),67.1 (12.4),0.011,65.1 (14.5),65.0 (14.7),0.006
"  Female sex, n (%)","2,176 (34.2)","1,165 (33.7)",0.011,"1,977 (40.9)","1,393 (40.2)",0.015
"  BMI, mean (SD), kg/m²",28.6 (6.0),28.8 (6.1),0.037,29.1 (7.6),29.2 (7.4),0.015
"**Surgery type, n (%)**",,,,,,
  CABG,"1,325 (20.9)",661 (19.1),0.043,997 (20.6),762 (22.0),0.033
  Valve surgery,826 (13.0),402 (11.6),0.041,647 (13.4),494 (14.2),0.025
  Combined CABG + valve,477 (7.5),248 (7.2),0.012,206 (4.3),181 (5.2),0.045
"**Comorbidities, n (%)**",,,,,,
  Heart failure,"1,912 (30.1)","1,107 (32.1)",0.043,785 (16.2),636 (18.3),0.056
  Hypertension,"4,826 (76.0)","2,673 (77.4)",0.035,"2,455 (50.8)","1,918 (55.3)",0.091
  Diabetes mellitus,"2,021 (31.8)","1,135 (32.9)",0.023,"1,406 (29.1)","1,112 (32.1)",0.065
  Chronic kidney disease,892 (14.0),573 (16.6),0.071,48 (1.0),37 (1.1),0.007
  COPD,"1,284 (20.2)",694 (20.1),0.003,515 (10.7),434 (12.5),0.058
  Peripheral vascular disease,341 (5.4),182 (5.3),0.004,263 (5.4),214 (6.2),0.031
  Stroke/TIA,549 (8.6),329 (9.5),0.031,328 (6.8),258 (7.4),0.026
  Liver disease,300 (4.7),173 (5.0),0.013,71 (1.5),61 (1.8),0.023
**Renal function**,,,,,,
"  eGFR, mean (SD), mL/min/1.73 m²",84.3 (22.5),82.0 (24.0),0.097,75.9 (27.6),75.7 (27.9),0.006
"  Baseline creatinine, mean (SD), mg/dL",0.93 (0.40),0.98 (0.46),0.113 *,1.11 (0.57),1.12 (0.58),0.017
**Laboratory values (closest to T₀)**,,,,,,
"  Serum calcium, mean (SD), mg/dL",8.35 (0.68),8.38 (0.54),0.059,8.04 (1.17),8.21 (1.05),0.154 *
"  Lactate, mean (SD), mmol/L",2.19 (1.36),1.94 (1.66),0.167 *,2.23 (2.14),2.09 (2.69),0.060
"  Lactate missing, n (%)",—,—,—,—,—,—
"  Heart rate, mean (SD), bpm",84.1 (16.1),83.8 (15.3),0.023,86.0 (18.4),85.4 (18.4),0.030
**Supplementary labs (not in PS model)**,,,,,,
"  Serum magnesium, mean (SD), mg/dL",1.91 (0.36),2.12 (0.26),0.667 *,1.79 (0.36),2.04 (0.35),0.712 *
"  Serum potassium, mean (SD), mEq/L",4.16 (0.50),4.18 (0.43),0.047,3.95 (0.56),4.07 (0.53),0.229 *
**Descriptive labs (Table 1 only)**,,,,,,
"  Hemoglobin, mean (SD), g/dL",10.2 (2.2),10.3 (2.2),0.021,10.9 (2.1),11.0 (2.2),0.028
"  White blood cell count, mean (SD), ×10⁹/L",12.7 (5.6),12.7 (6.0),0.008,12.5 (6.8),13.5 (7.4),0.140 *
"  Platelet count, mean (SD), ×10⁹/L",163.7 (71.2),168.5 (74.6),0.065,183.0 (90.3),185.4 (95.0),0.026
"  Albumin, mean (SD), g/dL",3.13 (0.60),3.21 (0.61),0.133 *,2.87 (0.67),2.90 (0.70),0.037
**Outcomes**,,,,,,
"  48-hour AKI (KDIGO ≥1), n (%)","1,404 (22.1)",904 (26.2),0.098,476 (9.8),538 (15.5),0.099
"  7-day AKI (KDIGO ≥1), n (%)","1,983 (31.2)","1,208 (35.0)",0.084,691 (14.3),734 (21.2),0.087
"  7-day AKI (KDIGO ≥2), n (%)",382 (6.0),231 (6.7),0.029,169 (3.5),181 (5.2),0.041
"  7-day AKI (KDIGO ≥3), n (%)",189 (3.0),98 (2.8),0.007,135 (2.8),114 (3.3),0.012
"  Hospital mortality, n (%)",216 (3.4),113 (3.3),0.007,358 (7.4),283 (8.2),0.028
"  7-day mortality, n (%)",105 (1.7),54 (1.6),0.007,245 (5.1),197 (5.7),0.027
"  Ventricular arrhythmia, n (%)",420 (6.6),197 (5.7),0.038,289 (6.0),212 (6.1),0.006
