Variable,"IV Mg (n=4,834)","Control (n=3,460)",SMD
**Demographics**,,,
"  Age, mean (SD), y",65.1 (14.5),65.0 (14.8),0.006
"  Female sex, n (%)","1,977 (40.9)","1,386 (40.1)",0.017
"  BMI, mean (SD), kg/m²",29.1 (7.6),29.3 (7.5),0.024
"**Surgery type, n (%)**",,,
  CABG,997 (20.6),768 (22.2),0.038
  Valve surgery,646 (13.4),490 (14.2),0.023
  Combined CABG + valve,206 (4.3),184 (5.3),0.049
"**Comorbidities, n (%)**",,,
  Heart failure,786 (16.3),618 (17.9),0.043
  Hypertension,"2,456 (50.8)","1,917 (55.4)",0.092
  Diabetes mellitus,"1,406 (29.1)","1,110 (32.1)",0.065
  Chronic kidney disease,48 (1.0),33 (1.0),0.004
  COPD,515 (10.7),394 (11.4),0.023
  Peripheral vascular disease,263 (5.4),209 (6.0),0.026
  Stroke/TIA,328 (6.8),244 (7.1),0.011
  Liver disease,71 (1.5),52 (1.5),0.003
**Renal function**,,,
"  eGFR, mean (SD), mL/min/1.73 m²",75.9 (27.6),75.7 (28.2),0.007
"  Baseline creatinine, mean (SD), mg/dL",1.09 (0.62),1.07 (0.54),0.025
**Laboratory values (closest to T₀)**,,,
"  Serum calcium, mean (SD), mg/dL",—,—,—
"  Lactate, mean (SD), mmol/L",—,—,—
"  Lactate missing, n (%)",—,—,—
"  Heart rate, mean (SD), bpm",—,—,—
**Supplementary labs (not in PS model)**,,,
"  Serum magnesium, mean (SD), mg/dL",—,—,—
"  Serum potassium, mean (SD), mEq/L",—,—,—
**Outcomes**,,,
"  48-hour AKI, n (%)",465 (9.6),498 (14.4),0.147 *
"  7-day AKI, n (%)",577 (11.9),583 (16.8),0.140 *
"  Hospital mortality, n (%)",357 (7.4),265 (7.7),0.010
"  Ventricular arrhythmia, n (%)",289 (6.0),195 (5.6),0.015
